"nrounds","max_depth","min_child_weight","eta","gamma","subsample","colsample_bytree","mlogloss"
50,3,1,0.01,0,0.6,0.6,1.09800960742474
100,3,1,0.01,0,0.6,0.6,1.09862816143014
150,3,1,0.01,0,0.6,0.6,1.09869075245396
50,5,1,0.01,0,0.6,0.6,1.09807109305274
100,5,1,0.01,0,0.6,0.6,1.09868618229821
150,5,1,0.01,0,0.6,0.6,1.0985044069519
50,7,1,0.01,0,0.6,0.6,1.09842797791609
100,7,1,0.01,0,0.6,0.6,1.09796917720526
150,7,1,0.01,0,0.6,0.6,1.09811430453235
50,9,1,0.01,0,0.6,0.6,1.09870867452515
100,9,1,0.01,0,0.6,0.6,1.09833241483826
150,9,1,0.01,0,0.6,0.6,1.0984374948019
50,3,5,0.01,0,0.6,0.6,1.09858451321649
100,3,5,0.01,0,0.6,0.6,1.09707573898486
150,3,5,0.01,0,0.6,0.6,1.09789104369315
50,5,5,0.01,0,0.6,0.6,1.0981487966422
100,5,5,0.01,0,0.6,0.6,1.0985189921898
150,5,5,0.01,0,0.6,0.6,1.09836342573737
50,7,5,0.01,0,0.6,0.6,1.09844987700931
100,7,5,0.01,0,0.6,0.6,1.09824471956479
150,7,5,0.01,0,0.6,0.6,1.09805223308708
50,9,5,0.01,0,0.6,0.6,1.09821447164487
100,9,5,0.01,0,0.6,0.6,1.09849648268085
150,9,5,0.01,0,0.6,0.6,1.09833736358623
50,3,1,0.05,0,0.6,0.6,1.09903521290458
100,3,1,0.05,0,0.6,0.6,1.09937905042094
150,3,1,0.05,0,0.6,0.6,1.09903840266701
50,5,1,0.05,0,0.6,0.6,1.0996360781361
100,5,1,0.05,0,0.6,0.6,1.09923062056866
150,5,1,0.05,0,0.6,0.6,1.09924037817181
50,7,1,0.05,0,0.6,0.6,1.09964977415478
100,7,1,0.05,0,0.6,0.6,1.09960076302692
150,7,1,0.05,0,0.6,0.6,1.09826006940711
50,9,1,0.05,0,0.6,0.6,1.09765621163276
100,9,1,0.05,0,0.6,0.6,1.09826788973893
150,9,1,0.05,0,0.6,0.6,1.09894732097724
50,3,5,0.05,0,0.6,0.6,1.09911701567688
100,3,5,0.05,0,0.6,0.6,1.09977302499376
150,3,5,0.05,0,0.6,0.6,1.09615586756756
50,5,5,0.05,0,0.6,0.6,1.09826534798516
100,5,5,0.05,0,0.6,0.6,1.09967334424421
150,5,5,0.05,0,0.6,0.6,1.09950560900698
50,7,5,0.05,0,0.6,0.6,1.09983014675342
100,7,5,0.05,0,0.6,0.6,1.0991208096908
150,7,5,0.05,0,0.6,0.6,1.10011618107472
50,9,5,0.05,0,0.6,0.6,1.10117603296646
100,9,5,0.05,0,0.6,0.6,1.09485475682379
150,9,5,0.05,0,0.6,0.6,1.09704543872147
50,3,1,0.1,0,0.6,0.6,1.09875403701773
100,3,1,0.1,0,0.6,0.6,1.09995438841176
150,3,1,0.1,0,0.6,0.6,1.10041278843921
50,5,1,0.1,0,0.6,0.6,1.09900564225686
100,5,1,0.1,0,0.6,0.6,1.09975080068817
150,5,1,0.1,0,0.6,0.6,1.1015353350599
50,7,1,0.1,0,0.6,0.6,1.10385154249982
100,7,1,0.1,0,0.6,0.6,1.10189242544221
150,7,1,0.1,0,0.6,0.6,1.10343915426174
50,9,1,0.1,0,0.6,0.6,1.10564877084599
100,9,1,0.1,0,0.6,0.6,1.09973551123573
150,9,1,0.1,0,0.6,0.6,1.10063124356054
50,3,5,0.1,0,0.6,0.6,1.10201537867229
100,3,5,0.1,0,0.6,0.6,1.09659102377711
150,3,5,0.1,0,0.6,0.6,1.10124999443258
50,5,5,0.1,0,0.6,0.6,1.10191628221732
