"Feature","Gain","Cover","Frequency","Importance"
"mrisdp_604",0.0395704675113016,0.0398673161883028,0.0275862068965517,0.0395704675113016
"mrisdp_603",0.0395271475731532,0.045203194944264,0.0344827586206897,0.0395271475731532
"mrisdp_507",0.0394574910659339,0.0569136019193072,0.0482758620689655,0.0394574910659339
"mrisdp_565",0.0393200203905032,0.0486007489979227,0.0344827586206897,0.0393200203905032
"mrisdp_468",0.0347519546934211,0.0384044296205272,0.0275862068965517,0.0347519546934211
"mrisdp_496",0.0334707383199447,0.0381447672547471,0.0275862068965517,0.0334707383199447
"mrisdp_455",0.0302342259154377,0.0391614734193511,0.0275862068965517,0.0302342259154377
"mrisdp_528",0.0262800420037479,0.0398124579420112,0.0275862068965517,0.0262800420037479
"mrisdp_577",0.0254827725726811,0.0108911904970889,0.0206896551724138,0.0254827725726811
"mrisdp_487",0.02261618880031,0.0225796541736154,0.0206896551724138,0.02261618880031
"mrisdp_602",0.0220832797565404,0.0200159454635888,0.0137931034482759,0.0220832797565404
"mrisdp_584",0.0211900713540187,0.0109350770941221,0.0206896551724138,0.0211900713540187
"mrisdp_595",0.0199268552430632,0.0295868808332602,0.0206896551724138,0.0199268552430632
"mrisdp_522",0.0196330701491713,0.0394394218672284,0.0275862068965517,0.0196330701491713
"mrisdp_534",0.01801866510135,0.0204621258667603,0.0206896551724138,0.01801866510135
"mrisdp_541",0.0176566468735988,0.0288408086836947,0.0206896551724138,0.0176566468735988
"mrisdp_582",0.0174111274547252,0.0131513502443021,0.0137931034482759,0.0174111274547252
"mrisdp_587",0.0169842347548152,0.000131659791099798,0.0137931034482759,0.0169842347548152
"smri_vol_scs_caudaterh",0.0167578393142729,0.0109277626612832,0.0137931034482759,0.0167578393142729
"smri_vol_scs_crbcortexrh",0.0161951296046682,0.000522981947979754,0.0137931034482759,0.0161951296046682
"mrisdp_569",0.0157992140039357,0.0286506334298838,0.0206896551724138,0.0157992140039357
"mrisdp_506",0.014987233606875,0.0288005793030808,0.0206896551724138,0.014987233606875
"mrisdp_489",0.0146726292498116,0.0200854325755581,0.0137931034482759,0.0146726292498116
"mrisdp_574",0.0145480355251877,0.000274291231457913,0.00689655172413793,0.0145480355251877
"mrisdp_490",0.0142355037995082,0.00337195353872261,0.0137931034482759,0.0142355037995082
"mrisdp_495",0.0142095806468713,0.00928932970537464,0.0137931034482759,0.0142095806468713
"mrisdp_545",0.0140346056094377,0.00968430907867404,0.0137931034482759,0.0140346056094377
"mrisdp_501",0.0137363020681446,0.0105400977208227,0.0137931034482759,0.0137363020681446
"mrisdp_599",0.0136482138470254,0.0195149068141256,0.0137931034482759,0.0136482138470254
"mrisdp_469",0.0133629828663284,0.0191674712542789,0.0137931034482759,0.0133629828663284
"smri_vol_scs_ltventriclerh",0.0133529679225798,0.000939904619795781,0.00689655172413793,0.0133529679225798
"mrisdp_570",0.0131148289581656,0.000530296380818631,0.00689655172413793,0.0131148289581656
"mrisdp_503",0.0129888174093955,0.0196465666052254,0.0137931034482759,0.0129888174093955
"smri_vol_scs_allventricles",0.0129391477832658,0.000321835044910618,0.00689655172413793,0.0129391477832658
"mrisdp_586",0.0126450921651973,0.0199976593814916,0.0137931034482759,0.0126450921651973
"mrisdp_533",0.0121327665430093,0.0199354867023611,0.0137931034482759,0.0121327665430093
"mrisdp_576",0.0120658249886804,0.0101122033997484,0.0137931034482759,0.0120658249886804
"mrisdp_601",0.0117842828479096,0.0101634044296205,0.0137931034482759,0.0117842828479096
"mrisdp_600",0.0117356342771337,0.0192406155826677,0.0137931034482759,0.0117356342771337
"mrisdp_500",0.0117054784616104,0.000402293806138272,0.00689655172413793,0.0117054784616104
"mrisdp_502",0.011532478250666,0.000446180403171538,0.00689655172413793,0.011532478250666
"smri_vol_scs_wholeb",0.0108525448661208,0.0198623423739723,0.0137931034482759,0.0108525448661208
"mrisdp_479",0.0104651861531901,0.000892360806343076,0.00689655172413793,0.0104651861531901
"mrisdp_527",0.00925071849886029,0.0197197109336142,0.0137931034482759,0.00925071849886029
"smri_vol_scs_ccmidat",0.00857013100072905,0.00125442523186752,0.00689655172413793,0.00857013100072905
"mrisdp_578",0.00835819264964572,0.000903332455601393,0.00689655172413793,0.00835819264964572
"mrisdp_547",0.00809231593965608,0.00126539688112584,0.00689655172413793,0.00809231593965608
"smri_vol_scs_4thventricle",0.00765797896932704,0.000193832470230258,0.00689655172413793,0.00765797896932704
"mrisdp_483",0.00730806080243959,0.00188712367243044,0.00689655172413793,0.00730806080243959
"mrisdp_598",0.0070890527528741,0.000175546388133064,0.00689655172413793,0.0070890527528741
"mrisdp_555",0.00707050311817923,0.00962945083238246,0.00689655172413793,0.00707050311817923
"mrisdp_470",0.00694602176513639,0.000369378858363322,0.00689655172413793,0.00694602176513639
"mrisdp_466",0.00675639056019592,6.94871119693379e-05,0.00689655172413793,0.00675639056019592
"mrisdp_524",0.00649607763077196,0.00012434535826092,0.00689655172413793,0.00649607763077196
"mrisdp_542",0.00617898167667681,8.41159776470932e-05,0.00689655172413793,0.00617898167667681
"mrisdp_535",0.00616922199676668,0.00977573948916001,0.00689655172413793,0.00616922199676668
"mrisdp_523",0.00594298332151652,9.14304104859709e-05,0.00689655172413793,0.00594298332151652
"mrisdp_579",0.00549206668741976,0.00995860031013195,0.00689655172413793,0.00549206668741976
"smri_vol_scs_csf",0.00545330716260252,0.00477266742736768,0.00689655172413793,0.00545330716260252
"smri_vol_scs_crbwmatterrh",0.00542715753267415,0.00994762866087364,0.00689655172413793,0.00542715753267415
"smri_vol_scs_crbcortexlh",0.00541150181301731,0.00991837092951812,0.00689655172413793,0.00541150181301731
"mrisdp_548",0.00540792257006519,0.00990739928025981,0.00689655172413793,0.00540792257006519
"mrisdp_513",0.0052419750631355,0.00996957195939027,0.00689655172413793,0.0052419750631355
"mrisdp_488",0.00521598358580269,0.00998054360864859,0.00689655172413793,0.00521598358580269
"mrisdp_519",0.0049182238674698,0.0069962550103865,0.00689655172413793,0.0049182238674698
"mrisdp_492",0.0047893399068655,5.85154627110214e-05,0.00689655172413793,0.0047893399068655
"mrisdp_477",0.00472766663746324,0.00993665701161532,0.00689655172413793,0.00472766663746324
"smri_vol_scs_suprateialv",0.00460008535481709,0.00980865443693496,0.00689655172413793,0.00460008535481709
"mrisdp_563",0.00436424862051104,0.00983059773545159,0.00689655172413793,0.00436424862051104
"mrisdp_556",0.00423304300755001,0.00990739928025981,0.00689655172413793,0.00423304300755001
"smri_vol_scs_crbwmatterlh",0.00418816686173437,0.00995128587729307,0.00689655172413793,0.00418816686173437
"mrisdp_583",0.00408074413898221,0.00793250241376284,0.00689655172413793,0.00408074413898221
"smri_vol_scs_amygdalarh",0.00257144189568565,4.02293806138272e-05,0.00689655172413793,0.00257144189568565
"mrisdp_467",0.00251607357372782,4.02293806138272e-05,0.0137931034482759,0.00251607357372782
"mrisdp_482",0.00177440345064658,1.82860820971942e-05,0.00689655172413793,0.00177440345064658
"mrisdp_463",0.000582697284346036,1.82860820971942e-05,0.00689655172413793,0.000582697284346036
