"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","model"
0.05,2,0.1,0.6,1,0.6,50,0.925995403546639,0.00813171524877436,0.649639326050628,0.0381684851007945,0.00859647250548292,0.0158885279267643,"BPM"
0.05,2,0.1,0.6,1,0.8,50,0.926235954849984,0.00798354645085831,0.650000596848552,0.0378120278215432,0.00853352973150716,0.0145853835199372,"BPM"
0.05,2,0.1,0.6,2,0.6,50,0.925665043960464,0.00947461973088121,0.648617158053292,0.0380575881858715,0.00975557633263601,0.0166205102809867,"BPM"
0.05,2,0.1,0.6,2,0.8,50,0.925755781183759,0.00712875277357592,0.649878386230765,0.0386979304636353,0.00607497707047915,0.0161395579832066,"BPM"
0.05,2,0.1,0.8,1,0.6,50,0.927783356770107,0.00628812288126476,0.649949702626748,0.0376130945940977,0.00843799638753676,0.013944904448219,"BPM"
0.05,2,0.1,0.8,1,0.8,50,0.926624538774083,0.00795347636883456,0.649141307948837,0.035920665815972,0.0120594075431172,0.0133219631474321,"BPM"
0.05,2,0.1,0.8,2,0.6,50,0.926254002896821,0.00885963677517861,0.650707675784155,0.0368759239146883,0.0108848531981125,0.0145631631685815,"BPM"
0.05,2,0.1,0.8,2,0.8,50,0.926672917707444,0.00719913848703276,0.650667191897714,0.0371036595593559,0.00775925896031581,0.015036832124777,"BPM"
0.05,2,1,0.6,1,0.6,50,0.926294086640775,0.0077114625380652,0.650299238796339,0.0376650406118712,0.00809156148107027,0.0159995530920851,"BPM"
0.05,2,1,0.6,1,0.8,50,0.926466546949816,0.00743290240376192,0.649366838404458,0.037917520691406,0.00854439292123381,0.0144127943486127,"BPM"
0.05,2,1,0.6,2,0.6,50,0.926441321166644,0.00685837510974443,0.650116646358053,0.0382722523471365,0.00680243630283172,0.015870023188337,"BPM"
0.05,2,1,0.6,2,0.8,50,0.92587382061506,0.00802388091436065,0.650198920451815,0.0376604890434096,0.00883959123333772,0.0137331911161613,"BPM"
0.05,2,1,0.8,1,0.6,50,0.924657430364274,0.0107772326938966,0.650014966261416,0.0371909476620085,0.0118034724520869,0.0135789664999991,"BPM"
0.05,2,1,0.8,1,0.8,50,0.925766737289353,0.00885546281565347,0.649701209075448,0.0365249935606186,0.0112185835404469,0.0144964948304827,"BPM"
0.05,2,1,0.8,2,0.6,50,0.925334119032875,0.0105559286819625,0.649673358970472,0.0372235346161785,0.0116755493915046,0.0137416964784702,"BPM"
0.05,2,1,0.8,2,0.8,50,0.924583564822294,0.01019053367751,0.649062050981887,0.0377059507111099,0.00882564388458778,0.0141632650817408,"BPM"
0.1,2,0.1,0.6,1,0.6,50,0.929963392002159,0.00566859317552456,0.62270791650681,0.039489051187249,0.0055184655038876,0.015444501735048,"BPM"
0.1,2,0.1,0.6,1,0.8,50,0.927996282524961,0.00804899416835243,0.622835676477689,0.0367978336994168,0.010101203895092,0.0144164866590495,"BPM"
0.1,2,0.1,0.6,2,0.6,50,0.926701353940485,0.0101655969811249,0.620723683690657,0.035813985837445,0.0118452509434953,0.0158772494485429,"BPM"
0.1,2,0.1,0.6,2,0.8,50,0.92947542334184,0.00627667353381985,0.623957896519812,0.0378349014532649,0.00676316236370224,0.0141980088626254,"BPM"
0.1,2,0.1,0.8,1,0.6,50,0.930116647749691,0.0078549925230554,0.623113468020608,0.0370996664277273,0.00985489867198297,0.0130412486982248,"BPM"
0.1,2,0.1,0.8,1,0.8,50,0.929517432806989,0.00593251059766168,0.623608215829788,0.0391756702825289,0.00655598439062132,0.0171330670032241,"BPM"
0.1,2,0.1,0.8,2,0.6,50,0.933177805192237,0.0040421072295042,0.624026841858185,0.0374841604929544,0.00439634255225842,0.0146565770574307,"BPM"
0.1,2,0.1,0.8,2,0.8,50,0.931136683046803,0.00614837343711524,0.626142842754214,0.0354996117789489,0.0087717310861698,0.0134065154968783,"BPM"
0.1,2,1,0.6,1,0.6,50,0.931170095293449,0.00486763513260809,0.622904242563994,0.036007792518,0.00646073902634384,0.013204345764932,"BPM"
0.1,2,1,0.6,1,0.8,50,0.929071490767063,0.0059226417279275,0.623294026673836,0.0380344063484043,0.00566566759136169,0.0158896345033995,"BPM"
0.1,2,1,0.6,2,0.6,50,0.930589235323117,0.00642163814566278,0.624337872590591,0.0369384640319108,0.00903799342938524,0.0142159657431724,"BPM"
0.1,2,1,0.6,2,0.8,50,0.929927161322812,0.00605844597338396,0.623046343656301,0.036341057804156,0.00808677035012041,0.0153198893492504,"BPM"
0.1,2,1,0.8,1,0.6,50,0.929615874074378,0.00947876272804305,0.623263552303457,0.0363211225717996,0.0123734029281195,0.0157143349722507,"BPM"
0.1,2,1,0.8,1,0.8,50,0.929805425036584,0.00759929462513159,0.624371310700728,0.0354093807524277,0.0103079222636175,0.0131005935022595,"BPM"
0.1,2,1,0.8,2,0.6,50,0.928877681408792,0.00772733612159611,0.62435169749039,0.0400641823202956,0.006451750224041,0.0155600217017739,"BPM"
0.1,2,1,0.8,2,0.8,50,0.9306461306674,0.00636380225544853,0.625348633727998,0.0378886024929478,0.00764933944410035,0.0170278682216844,"BPM"
0.05,7,0.1,0.6,1,0.6,50,0.93601254081265,0.00534985272134607,0.648598577065825,0.0388510098904687,0.00555540069916808,0.0182009151345206,"BPM"
0.05,7,0.1,0.6,1,0.8,50,0.935339164052611,0.00489891444575318,0.648941117302365,0.0382480311632497,0.00557290641608267,0.0140993104405698,"BPM"
0.05,7,0.1,0.6,2,0.6,50,0.935684342763184,0.00759679353924003,0.647454017182051,0.043644104542253,0.00835171383722064,0.0220497492226912,"BPM"
0.05,7,0.1,0.6,2,0.8,50,0.935907727223864,0.00426966096426741,0.651274478785168,0.0385438733057483,0.00368659460421653,0.015826609258666,"BPM"
0.05,7,0.1,0.8,1,0.6,50,0.935808829999978,0.00640182410607271,0.646843187609714,0.0379824978478032,0.00595235591702493,0.0145418161229511,"BPM"
0.05,7,0.1,0.8,1,0.8,50,0.937364366960242,0.00390761031544602,0.650920576154322,0.0398382894800787,0.00394919090617582,0.0181954597276354,"BPM"
0.05,7,0.1,0.8,2,0.6,50,0.937908202876059,0.00464411316633453,0.649648488735567,0.0388968561178646,0.00547755185592483,0.0180711265062054,"BPM"
0.05,7,0.1,0.8,2,0.8,50,0.93507076213936,0.00755002116799462,0.649697604130357,0.034520826753588,0.00842424556459574,0.0117318324400951,"BPM"
0.05,7,1,0.6,1,0.6,50,0.933268988757256,0.00696532450883576,0.647765903683521,0.0388394863828501,0.00615809188171559,0.0186340402255273,"BPM"
0.05,7,1,0.6,1,0.8,50,0.934763669684707,0.00711762024211598,0.650783861082063,0.0361548361290521,0.00974807560845878,0.0144357969216186,"BPM"
0.05,7,1,0.6,2,0.6,50,0.933182929651072,0.00828005944465391,0.64606396065011,0.0353089923312819,0.00999054471940957,0.013734899368602,"BPM"
0.05,7,1,0.6,2,0.8,50,0.936576168083128,0.00552079183017056,0.649717896480334,0.0389873706009539,0.00709241420591342,0.0181697404889392,"BPM"
0.05,7,1,0.8,1,0.6,50,0.938573492783521,0.00564652850759542,0.649243191800887,0.0353926506070442,0.00818913653411515,0.0179873135941591,"BPM"
