"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","model"
0.05,2,0.1,0.6,1,0.6,50,0.949775193064991,0.00582006251615621,0.670541860032757,0.023393610370719,0.00513017241050931,0.0115551876732628,"BPM"
0.05,2,0.1,0.6,1,0.8,50,0.950362245733569,0.00579732243360392,0.671204405581927,0.0228839912345536,0.00687947886680392,0.0131140306892883,"BPM"
0.05,2,0.1,0.6,2,0.6,50,0.94903878671813,0.00732081074687607,0.668332901973738,0.0238571127679088,0.00748072757889691,0.012666494026536,"BPM"
0.05,2,0.1,0.6,2,0.8,50,0.950388485964659,0.00512256792493008,0.670481631689584,0.023398397941408,0.00512355938711562,0.0119199051712587,"BPM"
0.05,2,0.1,0.8,1,0.6,50,0.95075397796381,0.0054753518491125,0.670112747282276,0.0238846342219753,0.00604159447076138,0.011522493295974,"BPM"
0.05,2,0.1,0.8,1,0.8,50,0.950054214196395,0.00583880136787757,0.670462161422414,0.0237482845952237,0.00432532174635844,0.013388615892048,"BPM"
0.05,2,0.1,0.8,2,0.6,50,0.950376650598259,0.0067137769917172,0.670329375548404,0.0258876791881182,0.00796522868599715,0.0147126394419713,"BPM"
0.05,2,0.1,0.8,2,0.8,50,0.951713681978583,0.00411404979205325,0.671318121823619,0.0235457835704154,0.00491064038402119,0.0125784280284531,"BPM"
0.05,2,1,0.6,1,0.6,50,0.949774243168582,0.00727274101317645,0.670078650651298,0.0221107810718543,0.0110056622195331,0.0119185341658055,"BPM"
0.05,2,1,0.6,1,0.8,50,0.95009993000023,0.00501639293073248,0.670729181042723,0.0231203363446817,0.00426693321023948,0.0115100251585715,"BPM"
0.05,2,1,0.6,2,0.6,50,0.95078499624394,0.00483472679582411,0.669577175638771,0.02189941033661,0.00730207725822549,0.0111043126130725,"BPM"
0.05,2,1,0.6,2,0.8,50,0.9500530033402,0.00608407865263839,0.670426270892921,0.024166768710218,0.00606057123871468,0.0142554371873776,"BPM"
0.05,2,1,0.8,1,0.6,50,0.949541975359141,0.00614138489311822,0.670312324531876,0.0214088503398549,0.00550818358195311,0.012060614999135,"BPM"
0.05,2,1,0.8,1,0.8,50,0.951181988279134,0.00545897789629409,0.67203242121311,0.0226755866024744,0.00764510366389155,0.011446507332767,"BPM"
0.05,2,1,0.8,2,0.6,50,0.94943506018114,0.00672746208939307,0.668727828730364,0.0246090663186417,0.0063428687218534,0.0139802017296564,"BPM"
0.05,2,1,0.8,2,0.8,50,0.950918273368554,0.00602588257542589,0.671666209678116,0.0228934606370868,0.00853632988678074,0.0116306817067581,"BPM"
0.1,2,0.1,0.6,1,0.6,50,0.954605113566051,0.00496863264376216,0.644526226604095,0.0260398956917723,0.00480465791007022,0.0132694652988301,"BPM"
0.1,2,0.1,0.6,1,0.8,50,0.952264954841782,0.00595132012837202,0.645572907548094,0.0251404710677543,0.00689467470101942,0.0122212445952082,"BPM"
0.1,2,0.1,0.6,2,0.6,50,0.95360545460424,0.00445874771713273,0.64345161033069,0.0247934154985746,0.00420672864170049,0.0130646580921548,"BPM"
0.1,2,0.1,0.6,2,0.8,50,0.954665918348343,0.0046283318280751,0.645646979681507,0.0252845282375582,0.00612066470706602,0.0132088882146828,"BPM"
0.1,2,0.1,0.8,1,0.6,50,0.956838024560629,0.00383900687002356,0.646529182084662,0.0258494343778766,0.00541478021006651,0.012535803475222,"BPM"
0.1,2,0.1,0.8,1,0.8,50,0.953414404283185,0.00599418274178456,0.645644782547215,0.0266904419647937,0.00658191397825244,0.0147395466941081,"BPM"
0.1,2,0.1,0.8,2,0.6,50,0.95511313468795,0.00431869811744102,0.643101624080037,0.0268787367431004,0.0040650853718458,0.0144264664683063,"BPM"
0.1,2,0.1,0.8,2,0.8,50,0.953525627282383,0.00515179322970245,0.645303985139665,0.0251698635557533,0.00499983543154329,0.0133455575503907,"BPM"
0.1,2,1,0.6,1,0.6,50,0.958950333877143,0.00230164058113807,0.647925446118336,0.0243736057124847,0.00319349129921374,0.0142927526526247,"BPM"
0.1,2,1,0.6,1,0.8,50,0.954617260935105,0.00491811118991207,0.646958964447016,0.0264084170883298,0.00506798905502861,0.0145796312199462,"BPM"
0.1,2,1,0.6,2,0.6,50,0.9528019983113,0.00615242741274697,0.647169439466796,0.0239959972308062,0.00765141142358183,0.0119273060628156,"BPM"
0.1,2,1,0.6,2,0.8,50,0.954676118156058,0.0038953696160328,0.64694378939971,0.0239872094793451,0.00462393585406815,0.011820150080812,"BPM"
0.1,2,1,0.8,1,0.6,50,0.952940192868174,0.00660556963537741,0.643997332820513,0.028644759670637,0.00666043169758938,0.0162529858190936,"BPM"
0.1,2,1,0.8,1,0.8,50,0.953254768394233,0.00498505337088617,0.645726673482553,0.0246756596013883,0.00661717327166727,0.0126906725125862,"BPM"
0.1,2,1,0.8,2,0.6,50,0.95370306567106,0.00522061828910566,0.64444277098455,0.0246958050218239,0.00510806037082386,0.0125417322289393,"BPM"
0.1,2,1,0.8,2,0.8,50,0.955878681260797,0.00403048425197119,0.646520370211683,0.0221906430478391,0.00595679883490212,0.0117151102576828,"BPM"
0.05,7,0.1,0.6,1,0.6,50,0.957954282225658,0.00575112012170394,0.666493648890254,0.0256936898755299,0.00657243870187653,0.0152345118067639,"BPM"
0.05,7,0.1,0.6,1,0.8,50,0.955550482686544,0.00730252835573623,0.666771016736026,0.0251665128068245,0.0108786232361157,0.0116885108153866,"BPM"
0.05,7,0.1,0.6,2,0.6,50,0.962015957636484,0.00360995102083741,0.671878471210855,0.0248901572389268,0.00599560703461607,0.0140190005259619,"BPM"
0.05,7,0.1,0.6,2,0.8,50,0.953363854775431,0.0078409331537709,0.666888638187922,0.0256503774351255,0.00505752592569058,0.0148506346482543,"BPM"
0.05,7,0.1,0.8,1,0.6,50,0.957471082539146,0.00513192348689839,0.666722621824277,0.0225871361354767,0.00348588115306818,0.0100187075872098,"BPM"
0.05,7,0.1,0.8,1,0.8,50,0.959912074731503,0.00558683802995776,0.669896155246033,0.0272234679498223,0.00856807666925538,0.013572413072655,"BPM"
0.05,7,0.1,0.8,2,0.6,50,0.96141943352947,0.00407529790342273,0.671554829616844,0.0278986274909693,0.00425530359498847,0.0129929165828514,"BPM"
0.05,7,0.1,0.8,2,0.8,50,0.959474395035394,0.00463910723439593,0.670756155232233,0.0236628562060693,0.00619953308874465,0.0106929877510658,"BPM"
0.05,7,1,0.6,1,0.6,50,0.958701133407002,0.00418171460230548,0.670184911988776,0.0243692707925799,0.0032259093796791,0.0135131943572265,"BPM"
0.05,7,1,0.6,1,0.8,50,0.95627092965503,0.00570552504810432,0.669236447436098,0.0242102896368433,0.00686990594083203,0.0128520499567499,"BPM"
0.05,7,1,0.6,2,0.6,50,0.95725203116809,0.00580322106300061,0.664130607253084,0.0242681941285951,0.00711899332926607,0.0134430563658711,"BPM"
0.05,7,1,0.6,2,0.8,50,0.958318681309948,0.00549185743906942,0.669147813465831,0.0239011926667201,0.00868949888109393,0.0112666741426579,"BPM"
0.05,7,1,0.8,1,0.6,50,0.959199541787101,0.0062527198944354,0.668515376865418,0.025899488547735,0.00978072245090216,0.0133711776375645,"BPM"
0.05,7,1,0.8,1,0.8,50,0.955665738680413,0.00689089755322881,0.665208373727946,0.0217502857369593,0.00768501805910245,0.0105490632278619,"BPM"
0.05,7,1,0.8,2,0.6,50,0.958781154767556,0.00727291793085453,0.668813554545682,0.0242953963196671,0.0108290438728156,0.0129180011286413,"BPM"
0.05,7,1,0.8,2,0.8,50,0.95828846737607,0.00674862321943445,0.668705351071637,0.0241904321428199,0.011740876981745,0.00914540564214534,"BPM"
0.1,7,0.1,0.6,1,0.6,50,0.976782242001016,0.00596612425278834,0.648816935754512,0.0264520273605019,0.00729213899552233,0.0161766308741206,"BPM"
0.1,7,0.1,0.6,1,0.8,50,0.975763013484497,0.00207928785323699,0.650412953424158,0.0278513569103146,0.00196585575276498,0.0149559308276138,"BPM"
0.1,7,0.1,0.6,2,0.6,50,0.975905121061375,0.00752436764510767,0.651282232147871,0.0308743339263138,0.00958504128990924,0.017443034653575,"BPM"
0.1,7,0.1,0.6,2,0.8,50,0.97822065573429,0.00209252452037688,0.653402353620433,0.022517927322196,0.00166562350195339,0.0117353342699387,"BPM"
0.1,7,0.1,0.8,1,0.6,50,0.980572257006688,0.00336288739265736,0.654164016247048,0.0256047595558434,0.00321530454843166,0.0130062580824225,"BPM"
0.1,7,0.1,0.8,1,0.8,50,0.977705776423674,0.00447955626687552,0.655474147847221,0.0342327501858427,0.00506652933631912,0.0176581697088552,"BPM"
0.1,7,0.1,0.8,2,0.6,50,0.982992612972209,0.00296952743152105,0.659657859864994,0.0249675524791715,0.00432459150492055,0.0164082558438499,"BPM"
0.1,7,0.1,0.8,2,0.8,50,0.976778893088778,0.0041586391520105,0.655434532326451,0.0290939128113687,0.00568462866417195,0.0121415367399251,"BPM"
0.1,7,1,0.6,1,0.6,50,0.97802451527192,0.00560514493892064,0.651766346041124,0.0257215794922657,0.00822185073879329,0.0150986292914561,"BPM"
0.1,7,1,0.6,1,0.8,50,0.974701352140586,0.00592214250258125,0.656434224920391,0.0242745955236289,0.0092960773619437,0.0174281927706268,"BPM"
0.1,7,1,0.6,2,0.6,50,0.979237847131149,0.00438143373895884,0.653841002169312,0.0286430802428522,0.00415898604533603,0.0188066082892962,"BPM"
0.1,7,1,0.6,2,0.8,50,0.977965851704643,0.00309683444354858,0.65347445162716,0.0275976525192468,0.00578033132904791,0.0191199791316287,"BPM"
0.1,7,1,0.8,1,0.6,50,0.981070964311285,0.00364790041536268,0.652232313032543,0.017948901205902,0.00237863248701034,0.00700911984757849,"BPM"
0.1,7,1,0.8,1,0.8,50,0.97885124888575,0.00377392353048147,0.654303501497731,0.0291177820122183,0.00527234305660401,0.0158194648061906,"BPM"
0.1,7,1,0.8,2,0.6,50,0.984748094058962,0.00304471215327097,0.656331081357485,0.0267834675262796,0.0054224473935367,0.0170964486972268,"BPM"
0.1,7,1,0.8,2,0.8,50,0.980089239226177,0.00377124684178776,0.65600026956494,0.0293456890614249,0.00542884308088495,0.0236892098652112,"BPM"
0.05,2,0.1,0.6,1,0.6,100,0.953198264275014,0.00488750130041823,0.644993463272283,0.0247241819885677,0.00581441877967366,0.0115934051244735,"BPM"
0.05,2,0.1,0.6,1,0.8,100,0.951584632456062,0.00683550545885382,0.646538379283777,0.0257933353109909,0.00945162083665624,0.0149506462158735,"BPM"
0.05,2,0.1,0.6,2,0.6,100,0.952095472191152,0.00653587354175417,0.644847922602393,0.0265879591506474,0.0073723618787688,0.0144654674062992,"BPM"
0.05,2,0.1,0.6,2,0.8,100,0.952292495243874,0.00526882134700299,0.645857764821459,0.0251441992934938,0.00658547050112684,0.0132998803139536,"BPM"
0.05,2,0.1,0.8,1,0.6,100,0.953688843632132,0.00599049363169,0.645589483120605,0.0256518410615886,0.00853677041345354,0.0124027985756881,"BPM"
0.05,2,0.1,0.8,1,0.8,100,0.952229527591865,0.00535658140097119,0.64577846136001,0.0254303814966414,0.00471405520338732,0.0133862163553281,"BPM"
0.05,2,0.1,0.8,2,0.6,100,0.952744692334721,0.00665447442670942,0.645404228100625,0.0268036873110244,0.009595083064087,0.01430640701213,"BPM"
0.05,2,0.1,0.8,2,0.8,100,0.954595097658028,0.00401965496714385,0.647032226462198,0.0253907811769645,0.00582597751005125,0.0122254739608939,"BPM"
0.05,2,1,0.6,1,0.6,100,0.951505876777894,0.00715461091383864,0.645296418872587,0.0247836732906895,0.0093879592204937,0.0131173176782626,"BPM"
0.05,2,1,0.6,1,0.8,100,0.951450002698556,0.00551285017356688,0.645575618688382,0.0251501467817911,0.00631860187776089,0.0119590684189386,"BPM"
0.05,2,1,0.6,2,0.6,100,0.955040141913888,0.00394025847511635,0.645653635160134,0.0226300683162917,0.0067539656285346,0.0102399116257779,"BPM"
0.05,2,1,0.6,2,0.8,100,0.953078463494456,0.00531808837602773,0.647095402930279,0.0261782616291243,0.00665104449641657,0.0146980465330001,"BPM"
0.05,2,1,0.8,1,0.6,100,0.951104742523947,0.00629909274475038,0.643470849571436,0.0235595443940998,0.00535607222248433,0.0125867135328639,"BPM"
0.05,2,1,0.8,1,0.8,100,0.952956444882875,0.00534590271808647,0.646568646083791,0.0254953272874554,0.00744517571233833,0.0123874750517432,"BPM"
0.05,2,1,0.8,2,0.6,100,0.952135248909573,0.00632973006731055,0.645016695553982,0.0251239521606502,0.00757496429172291,0.0127689976790882,"BPM"
0.05,2,1,0.8,2,0.8,100,0.952684143204672,0.00586263275548759,0.647344652638142,0.025425753430832,0.00845549644460937,0.0129999829745423,"BPM"
0.1,2,0.1,0.6,1,0.6,100,0.960718483195513,0.0065167603581512,0.645052708009814,0.0292531124947347,0.00856925725652284,0.0150886519225392,"BPM"
0.1,2,0.1,0.6,1,0.8,100,0.958654818708475,0.00488201103052171,0.644559062500602,0.0259324871015537,0.00478321642652154,0.0113731859908523,"BPM"
0.1,2,0.1,0.6,2,0.6,100,0.961958851634998,0.00449668105369254,0.644218490883962,0.027524961301502,0.00537606388286892,0.0133889254118399,"BPM"
0.1,2,0.1,0.6,2,0.8,100,0.960595209076674,0.0042914279882603,0.644575715766387,0.0276314492417204,0.00555128348762788,0.0139395241353113,"BPM"
0.1,2,0.1,0.8,1,0.6,100,0.966558932684225,0.00358085051491381,0.645736151586983,0.0287992284571002,0.00547622295081171,0.0143138840488522,"BPM"
0.1,2,0.1,0.8,1,0.8,100,0.96114056333609,0.00408939021339928,0.645270821894225,0.0293320411241989,0.00415078414995654,0.0144059157363179,"BPM"
0.1,2,0.1,0.8,2,0.6,100,0.962371329047184,0.00449070624358395,0.644755058465754,0.029633661818524,0.00503000326541873,0.0155904501144662,"BPM"
0.1,2,0.1,0.8,2,0.8,100,0.959309002174427,0.00542154545390727,0.643321889496618,0.0272865638057608,0.00690342171418384,0.014978827624898,"BPM"
0.1,2,1,0.6,1,0.6,100,0.967684716071526,0.00229902121450112,0.647759224942939,0.0278651633915054,0.00305458436897082,0.0145784892090372,"BPM"
0.1,2,1,0.6,1,0.8,100,0.961533910160039,0.00370225765540947,0.646652375582219,0.0264356728440186,0.00449046853864162,0.0160009937746842,"BPM"
0.1,2,1,0.6,2,0.6,100,0.96378025366719,0.00471554738845008,0.647309861369044,0.0252926223020999,0.00767164873844407,0.0143022274582471,"BPM"
0.1,2,1,0.6,2,0.8,100,0.96151750274199,0.00453435385390239,0.6464173511737,0.0255793031244337,0.00864400744958736,0.0126386252809946,"BPM"
0.1,2,1,0.8,1,0.6,100,0.960603168080582,0.0065632182266577,0.643358774006553,0.0319876887982536,0.00676042350374547,0.0169764851059654,"BPM"
0.1,2,1,0.8,1,0.8,100,0.960110695280922,0.00425460285213767,0.645119706374788,0.0250731687252012,0.00672305176056195,0.0127308972927665,"BPM"
0.1,2,1,0.8,2,0.6,100,0.963160131383218,0.00417860010315919,0.645569321471666,0.0249826410008696,0.00550232153357815,0.0140964847294943,"BPM"
0.1,2,1,0.8,2,0.8,100,0.963164185421779,0.00396589400598425,0.645847335679435,0.0261679865644332,0.00704776547380481,0.0112639153298404,"BPM"
0.05,7,0.1,0.6,1,0.6,100,0.96546592154545,0.00637583409408225,0.64781042416127,0.0256035292982377,0.00743044767144774,0.0130528111886146,"BPM"
0.05,7,0.1,0.6,1,0.8,100,0.962892892136891,0.00675889698761824,0.647624641525771,0.0253922330308525,0.0103466052416026,0.0103978160189553,"BPM"
