"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","model"
0.05,2,0.1,0.6,1,0.6,50,0.885837147109672,0.00258938335008045,0.737440380385256,0.0219874275313973,0.00318278217090049,0.0110102470750183,"CBCL"
0.05,2,0.1,0.6,1,0.8,50,0.886561732267188,0.00254938172335727,0.738200574862694,0.0229019595014397,0.00319517154609263,0.0119539638866781,"CBCL"
0.05,2,0.1,0.6,2,0.6,50,0.886521305902643,0.00175680961904692,0.738502529062599,0.0210606194279465,0.00236095411993409,0.0107889023834826,"CBCL"
0.05,2,0.1,0.6,2,0.8,50,0.886579633473696,0.00241330459684541,0.737773216158713,0.022676220237253,0.00291144250948409,0.0112911062765123,"CBCL"
0.05,2,0.1,0.8,1,0.6,50,0.886619565348135,0.00135121753832475,0.73789096516305,0.0211688806762941,0.00134204793126241,0.00999668141516356,"CBCL"
0.05,2,0.1,0.8,1,0.8,50,0.886379294032538,0.00199529965076812,0.737846103780882,0.0222084468699006,0.00155202832343183,0.011089848108176,"CBCL"
0.05,2,0.1,0.8,2,0.6,50,0.885938339936294,0.00241549234106283,0.737788161614933,0.0217163414921121,0.00261986513626555,0.0104747472618471,"CBCL"
0.05,2,0.1,0.8,2,0.8,50,0.886360322088653,0.00213595251401169,0.737966929852335,0.0218516528075516,0.00333047368000968,0.0112670192148798,"CBCL"
0.05,2,1,0.6,1,0.6,50,0.885557702379328,0.0025238942150692,0.737010032473683,0.0208403643533153,0.00256620936137179,0.00994846134697915,"CBCL"
0.05,2,1,0.6,1,0.8,50,0.886750420202384,0.00191187535073151,0.737978836592598,0.0221627514301045,0.00258736729879977,0.0111847859725932,"CBCL"
0.05,2,1,0.6,2,0.6,50,0.884892104630755,0.00421289648288894,0.737066242293237,0.0224356991670594,0.00389610992336266,0.0109534999288536,"CBCL"
0.05,2,1,0.6,2,0.8,50,0.886100991307843,0.00279072672080355,0.737726138023359,0.0225636208066951,0.00350293157856079,0.0118424335160262,"CBCL"
0.05,2,1,0.8,1,0.6,50,0.885675381972185,0.00301255307597757,0.737254298555423,0.0222359730419639,0.00335945839874851,0.0107516474785836,"CBCL"
0.05,2,1,0.8,1,0.8,50,0.88649033527279,0.00266795935069085,0.737794344944631,0.0225155747922984,0.00397082004961498,0.011543815738721,"CBCL"
0.05,2,1,0.8,2,0.6,50,0.884742850665806,0.00443267609752781,0.736968976484156,0.0223815398945622,0.00427368671458905,0.0114524352039955,"CBCL"
0.05,2,1,0.8,2,0.8,50,0.886078780183298,0.00356272097793702,0.737589835057679,0.0225129216480623,0.00451440058740076,0.0108343942830288,"CBCL"
0.1,2,0.1,0.6,1,0.6,50,0.887550985850346,0.00297149612192349,0.735778222025553,0.0249547060122735,0.0048369357604204,0.0123970106201656,"CBCL"
0.1,2,0.1,0.6,1,0.8,50,0.886504926089581,0.0041486326484699,0.734549689306383,0.0260411097008043,0.00588784097500089,0.0134027580141519,"CBCL"
0.1,2,0.1,0.6,2,0.6,50,0.886176369947113,0.00280461061443077,0.734008036842934,0.0231784829621959,0.00256969078856926,0.0107482105009899,"CBCL"
0.1,2,0.1,0.6,2,0.8,50,0.88723321658761,0.00305137868956217,0.73568714760954,0.0254164392389404,0.00338822618431104,0.0127884946148623,"CBCL"
0.1,2,0.1,0.8,1,0.6,50,0.885501196860291,0.00381599572368937,0.734005989003955,0.0242953882996949,0.00360545387952695,0.0118261612462391,"CBCL"
0.1,2,0.1,0.8,1,0.8,50,0.887689078252977,0.00111017351673288,0.73502914042125,0.0227776103466434,0.00129357310001054,0.0099388867256301,"CBCL"
0.1,2,0.1,0.8,2,0.6,50,0.886929555709347,0.00455263850779848,0.734799882932355,0.0265194026069083,0.00486993693974088,0.0135980929532112,"CBCL"
0.1,2,0.1,0.8,2,0.8,50,0.888486532289834,0.00139338362385219,0.73644619199473,0.0239898602155063,0.0020245005163482,0.0123091431879112,"CBCL"
0.1,2,1,0.6,1,0.6,50,0.886615307637256,0.00268611547311855,0.734959809062805,0.0244280046915474,0.00237418997673926,0.0123629258343717,"CBCL"
0.1,2,1,0.6,1,0.8,50,0.885149263593275,0.00504524083802278,0.733995335766135,0.0254185489076879,0.00709903650651798,0.0140963848891401,"CBCL"
0.1,2,1,0.6,2,0.6,50,0.887386854043847,0.00209139057293906,0.734860218524643,0.0239609945754049,0.0023390185057082,0.0115131746937524,"CBCL"
0.1,2,1,0.6,2,0.8,50,0.887486157354834,0.00221329307266552,0.735494987637484,0.0245460483283764,0.00287746207192959,0.0123609471834016,"CBCL"
0.1,2,1,0.8,1,0.6,50,0.88715269170222,0.00237852208419814,0.735810855027189,0.0224837989867584,0.0032926316177397,0.0108155972804206,"CBCL"
0.1,2,1,0.8,1,0.8,50,0.887880162375653,0.00201886515787524,0.735183870993378,0.0238061948300549,0.00254044306338561,0.0116633501150119,"CBCL"
0.1,2,1,0.8,2,0.6,50,0.886956265138153,0.00274556183897701,0.734822043688903,0.0248407687090221,0.00297552114146329,0.0119825261384213,"CBCL"
0.1,2,1,0.8,2,0.8,50,0.888429365450214,0.00187547408216902,0.736558811808942,0.0245894687789471,0.00109189262027142,0.0118478253723169,"CBCL"
0.05,7,0.1,0.6,1,0.6,50,0.892429040462801,0.00283640929660407,0.742514519418054,0.0235630388747621,0.00290371915391908,0.00931485442128016,"CBCL"
0.05,7,0.1,0.6,1,0.8,50,0.892147864059758,0.00405061263896875,0.741471211786548,0.0260481095651925,0.00334919666977427,0.0136127266002176,"CBCL"
0.05,7,0.1,0.6,2,0.6,50,0.893557231655574,0.0016942160866562,0.743453655863664,0.0227557363520322,0.00206303868948025,0.0119275641837272,"CBCL"
0.05,7,0.1,0.6,2,0.8,50,0.89307595114394,0.00294384254718904,0.740738524332678,0.0269108220140599,0.00348541050537831,0.0127903411546084,"CBCL"
0.05,7,0.1,0.8,1,0.6,50,0.888206778298622,0.00769869693764492,0.737121713878037,0.0277319812949874,0.00783621589325431,0.0160563367769641,"CBCL"
0.05,7,0.1,0.8,1,0.8,50,0.894472127792793,0.00241156352266376,0.742034625541101,0.026498571870491,0.00445251407127538,0.0155225348069338,"CBCL"
0.05,7,0.1,0.8,2,0.6,50,0.893725436700618,0.00315721082249613,0.741571459503819,0.0243208878214474,0.0046887149998252,0.013127520383782,"CBCL"
0.05,7,0.1,0.8,2,0.8,50,0.892849567317176,0.00276440387573027,0.74084388958631,0.0257272884195211,0.00341273218313826,0.0136402338379726,"CBCL"
0.05,7,1,0.6,1,0.6,50,0.894318390589525,0.00198669649944624,0.74325653326735,0.023454158103552,0.00301764848460028,0.0108794345054377,"CBCL"
0.05,7,1,0.6,1,0.8,50,0.890697898290486,0.00279827326945089,0.739276670497323,0.022157067971221,0.0021277375134227,0.01058386403389,"CBCL"
0.05,7,1,0.6,2,0.6,50,0.893195845646815,0.00238962000561411,0.741667815895407,0.0227690883636825,0.00243562843712841,0.0122407390561419,"CBCL"
