"nrounds","max_depth","min_child_weight","eta","gamma","subsample","colsample_bytree","mlogloss"
50,3,1,0.01,0,0.6,0.6,1.09784119707353
100,3,1,0.01,0,0.6,0.6,1.09546133531021
150,3,1,0.01,0,0.6,0.6,1.09687311177304
50,5,1,0.01,0,0.6,0.6,1.09916015441473
100,5,1,0.01,0,0.6,0.6,1.0978620539585
150,5,1,0.01,0,0.6,0.6,1.09546877320559
50,7,1,0.01,0,0.6,0.6,1.09823017189054
100,7,1,0.01,0,0.6,0.6,1.09871384782361
150,7,1,0.01,0,0.6,0.6,1.09770344925707
50,9,1,0.01,0,0.6,0.6,1.09737560188027
100,9,1,0.01,0,0.6,0.6,1.09812348840411
150,9,1,0.01,0,0.6,0.6,1.09780601200413
50,3,5,0.01,0,0.6,0.6,1.09684453722785
100,3,5,0.01,0,0.6,0.6,1.09710521504776
150,3,5,0.01,0,0.6,0.6,1.09667872306867
50,5,5,0.01,0,0.6,0.6,1.0943588707026
100,5,5,0.01,0,0.6,0.6,1.09715404849019
150,5,5,0.01,0,0.6,0.6,1.0962215815179
50,7,5,0.01,0,0.6,0.6,1.09786919956962
100,7,5,0.01,0,0.6,0.6,1.09512361044198
150,7,5,0.01,0,0.6,0.6,1.09805937579579
50,9,5,0.01,0,0.6,0.6,1.09773828157399
100,9,5,0.01,0,0.6,0.6,1.09878640514963
150,9,5,0.01,0,0.6,0.6,1.09750702037833
50,3,1,0.05,0,0.6,0.6,1.10313720763416
100,3,1,0.05,0,0.6,0.6,1.09778312674887
150,3,1,0.05,0,0.6,0.6,1.09431728517574
50,5,1,0.05,0,0.6,0.6,1.09306692560353
100,5,1,0.05,0,0.6,0.6,1.10047873096656
150,5,1,0.05,0,0.6,0.6,1.10007750926458
50,7,1,0.05,0,0.6,0.6,1.09797390775042
100,7,1,0.05,0,0.6,0.6,1.0972357499543
150,7,1,0.05,0,0.6,0.6,1.10353128762353
50,9,1,0.05,0,0.6,0.6,1.0965826903481
100,9,1,0.05,0,0.6,0.6,1.09976760197186
150,9,1,0.05,0,0.6,0.6,1.10013171266495
50,3,5,0.05,0,0.6,0.6,1.09856025753174
100,3,5,0.05,0,0.6,0.6,1.09991168935356
150,3,5,0.05,0,0.6,0.6,1.09621879742836
50,5,5,0.05,0,0.6,0.6,1.09763590790903
100,5,5,0.05,0,0.6,0.6,1.09617383839376
150,5,5,0.05,0,0.6,0.6,1.09839043621993
50,7,5,0.05,0,0.6,0.6,1.09702688056625
100,7,5,0.05,0,0.6,0.6,1.09798414986453
150,7,5,0.05,0,0.6,0.6,1.09852997913576
50,9,5,0.05,0,0.6,0.6,1.09961479429944
100,9,5,0.05,0,0.6,0.6,1.10039379784238
150,9,5,0.05,0,0.6,0.6,1.09873218701041
50,3,1,0.1,0,0.6,0.6,1.08583555221184
100,3,1,0.1,0,0.6,0.6,1.08970804111766
150,3,1,0.1,0,0.6,0.6,1.09554552928919
50,5,1,0.1,0,0.6,0.6,1.09940166419194
100,5,1,0.1,0,0.6,0.6,1.10391270031277
150,5,1,0.1,0,0.6,0.6,1.10700107425291
50,7,1,0.1,0,0.6,0.6,1.10393964069181
100,7,1,0.1,0,0.6,0.6,1.10052082842672
150,7,1,0.1,0,0.6,0.6,1.10613785149139
50,9,1,0.1,0,0.6,0.6,1.10320029514444
100,9,1,0.1,0,0.6,0.6,1.09224540269357
150,9,1,0.1,0,0.6,0.6,1.10265649464149
50,3,5,0.1,0,0.6,0.6,1.10304380621019
100,3,5,0.1,0,0.6,0.6,1.09630257026022
150,3,5,0.1,0,0.6,0.6,1.0994010285567
50,5,5,0.1,0,0.6,0.6,1.09992995660053
100,5,5,0.1,0,0.6,0.6,1.0962395543911
150,5,5,0.1,0,0.6,0.6,1.09131723406971
50,7,5,0.1,0,0.6,0.6,1.10556333614658
100,7,5,0.1,0,0.6,0.6,1.10393042868349
150,7,5,0.1,0,0.6,0.6,1.09723049370057
50,9,5,0.1,0,0.6,0.6,1.10321517473378
100,9,5,0.1,0,0.6,0.6,1.10460030039117
150,9,5,0.1,0,0.6,0.6,1.10377678587862
50,3,1,0.01,0.5,0.6,0.6,1.09620398305547
100,3,1,0.01,0.5,0.6,0.6,1.09726632407431
150,3,1,0.01,0.5,0.6,0.6,1.09851797569814
50,5,1,0.01,0.5,0.6,0.6,1.09743161095304
100,5,1,0.01,0.5,0.6,0.6,1.09764440625461
150,5,1,0.01,0.5,0.6,0.6,1.09674780417846
50,7,1,0.01,0.5,0.6,0.6,1.09834630998547
100,7,1,0.01,0.5,0.6,0.6,1.09850392331756
150,7,1,0.01,0.5,0.6,0.6,1.09849631862782
50,9,1,0.01,0.5,0.6,0.6,1.09707187888638
100,9,1,0.01,0.5,0.6,0.6,1.09821775118132
150,9,1,0.01,0.5,0.6,0.6,1.09679474944589
50,3,5,0.01,0.5,0.6,0.6,1.09622682050201
100,3,5,0.01,0.5,0.6,0.6,1.0970729050617
150,3,5,0.01,0.5,0.6,0.6,1.0967773359661
50,5,5,0.01,0.5,0.6,0.6,1.09562648155235
100,5,5,0.01,0.5,0.6,0.6,1.0970558655613
150,5,5,0.01,0.5,0.6,0.6,1.09661086178339
50,7,5,0.01,0.5,0.6,0.6,1.0980391948602
100,7,5,0.01,0.5,0.6,0.6,1.09837650640747
150,7,5,0.01,0.5,0.6,0.6,1.09721145249759
50,9,5,0.01,0.5,0.6,0.6,1.09943035444622
100,9,5,0.01,0.5,0.6,0.6,1.09822133877305
150,9,5,0.01,0.5,0.6,0.6,1.0977242550506
50,3,1,0.05,0.5,0.6,0.6,1.09760236343912
100,3,1,0.05,0.5,0.6,0.6,1.1015914426022
150,3,1,0.05,0.5,0.6,0.6,1.09544239957342
50,5,1,0.05,0.5,0.6,0.6,1.09513082998161
100,5,1,0.05,0.5,0.6,0.6,1.0954278740796
150,5,1,0.05,0.5,0.6,0.6,1.09332977198856
50,7,1,0.05,0.5,0.6,0.6,1.09572424577005
100,7,1,0.05,0.5,0.6,0.6,1.08996074568471
150,7,1,0.05,0.5,0.6,0.6,1.09795734193905
50,9,1,0.05,0.5,0.6,0.6,1.09819386753849
100,9,1,0.05,0.5,0.6,0.6,1.09975996248993
150,9,1,0.05,0.5,0.6,0.6,1.09528077855036
50,3,5,0.05,0.5,0.6,0.6,1.0949549204296
100,3,5,0.05,0.5,0.6,0.6,1.09992382299957
150,3,5,0.05,0.5,0.6,0.6,1.09735656835922
50,5,5,0.05,0.5,0.6,0.6,1.09645840952936
100,5,5,0.05,0.5,0.6,0.6,1.09959243377146
150,5,5,0.05,0.5,0.6,0.6,1.10251284923747
50,7,5,0.05,0.5,0.6,0.6,1.09497815561259
100,7,5,0.05,0.5,0.6,0.6,1.09758319573645
150,7,5,0.05,0.5,0.6,0.6,1.09648809933085
50,9,5,0.05,0.5,0.6,0.6,1.09754927748943
100,9,5,0.05,0.5,0.6,0.6,1.09833358512919
150,9,5,0.05,0.5,0.6,0.6,1.09957079738844
50,3,1,0.1,0.5,0.6,0.6,1.0877821992153
100,3,1,0.1,0.5,0.6,0.6,1.09530231033448
150,3,1,0.1,0.5,0.6,0.6,1.10058334142394
50,5,1,0.1,0.5,0.6,0.6,1.10216395657949
100,5,1,0.1,0.5,0.6,0.6,1.09953578024361
150,5,1,0.1,0.5,0.6,0.6,1.0966095374721
50,7,1,0.1,0.5,0.6,0.6,1.10232548951009
100,7,1,0.1,0.5,0.6,0.6,1.09830825295044
150,7,1,0.1,0.5,0.6,0.6,1.10438936425579
50,9,1,0.1,0.5,0.6,0.6,1.10538743900911
100,9,1,0.1,0.5,0.6,0.6,1.10266851999549
150,9,1,0.1,0.5,0.6,0.6,1.09619619477299
50,3,5,0.1,0.5,0.6,0.6,1.10079436905686
100,3,5,0.1,0.5,0.6,0.6,1.09020452595338
150,3,5,0.1,0.5,0.6,0.6,1.10255480688527
50,5,5,0.1,0.5,0.6,0.6,1.09866905473435
100,5,5,0.1,0.5,0.6,0.6,1.10148565654419
150,5,5,0.1,0.5,0.6,0.6,1.10131328027333
50,7,5,0.1,0.5,0.6,0.6,1.10287519535494
100,7,5,0.1,0.5,0.6,0.6,1.09703970042199
150,7,5,0.1,0.5,0.6,0.6,1.09598303192306
50,9,5,0.1,0.5,0.6,0.6,1.10329043767954
100,9,5,0.1,0.5,0.6,0.6,1.10153953757531
150,9,5,0.1,0.5,0.6,0.6,1.10506536251911
50,3,1,0.01,2,0.6,0.6,1.09734648405995
100,3,1,0.01,2,0.6,0.6,1.09761392314614
150,3,1,0.01,2,0.6,0.6,1.09657018925014
50,5,1,0.01,2,0.6,0.6,1.09885600261442
