"nrounds","max_depth","min_child_weight","eta","gamma","subsample","colsample_bytree","mlogloss"
50,3,1,0.01,0,0.6,0.6,1.09941911568069
100,3,1,0.01,0,0.6,0.6,1.0983071144743
150,3,1,0.01,0,0.6,0.6,1.09567771715102
50,5,1,0.01,0,0.6,0.6,1.09838101839667
100,5,1,0.01,0,0.6,0.6,1.09597295202882
150,5,1,0.01,0,0.6,0.6,1.09813631191906
50,7,1,0.01,0,0.6,0.6,1.09802349834029
100,7,1,0.01,0,0.6,0.6,1.09674593443203
150,7,1,0.01,0,0.6,0.6,1.09790388021892
50,9,1,0.01,0,0.6,0.6,1.0969622959081
100,9,1,0.01,0,0.6,0.6,1.09880431399095
150,9,1,0.01,0,0.6,0.6,1.09884421988631
50,3,5,0.01,0,0.6,0.6,1.09792212397158
100,3,5,0.01,0,0.6,0.6,1.09880797403237
150,3,5,0.01,0,0.6,0.6,1.0981742302812
50,5,5,0.01,0,0.6,0.6,1.09745044338706
100,5,5,0.01,0,0.6,0.6,1.0973182595648
150,5,5,0.01,0,0.6,0.6,1.09684619555517
50,7,5,0.01,0,0.6,0.6,1.09897672186555
100,7,5,0.01,0,0.6,0.6,1.09937364683996
150,7,5,0.01,0,0.6,0.6,1.09793418998697
50,9,5,0.01,0,0.6,0.6,1.09840982489808
100,9,5,0.01,0,0.6,0.6,1.09827448762154
150,9,5,0.01,0,0.6,0.6,1.09817683965889
50,3,1,0.05,0,0.6,0.6,1.09930406688623
100,3,1,0.05,0,0.6,0.6,1.10324898516252
150,3,1,0.05,0,0.6,0.6,1.09807536781692
50,5,1,0.05,0,0.6,0.6,1.09781108042738
100,5,1,0.05,0,0.6,0.6,1.09909631650768
150,5,1,0.05,0,0.6,0.6,1.09834256368044
50,7,1,0.05,0,0.6,0.6,1.09943714521388
100,7,1,0.05,0,0.6,0.6,1.10143054286641
150,7,1,0.05,0,0.6,0.6,1.09911586212628
50,9,1,0.05,0,0.6,0.6,1.10290744807223
100,9,1,0.05,0,0.6,0.6,1.0984834187842
150,9,1,0.05,0,0.6,0.6,1.10095483696466
50,3,5,0.05,0,0.6,0.6,1.10203509047184
100,3,5,0.05,0,0.6,0.6,1.10079830231569
150,3,5,0.05,0,0.6,0.6,1.1015566811758
50,5,5,0.05,0,0.6,0.6,1.10108633147826
100,5,5,0.05,0,0.6,0.6,1.09838324219298
150,5,5,0.05,0,0.6,0.6,1.0983329668916
50,7,5,0.05,0,0.6,0.6,1.0982265300915
100,7,5,0.05,0,0.6,0.6,1.09799122836583
150,7,5,0.05,0,0.6,0.6,1.0976026686081
50,9,5,0.05,0,0.6,0.6,1.09948234881582
100,9,5,0.05,0,0.6,0.6,1.10238613381555
150,9,5,0.05,0,0.6,0.6,1.09810322644741
50,3,1,0.1,0,0.6,0.6,1.10677568768203
100,3,1,0.1,0,0.6,0.6,1.09695351792313
150,3,1,0.1,0,0.6,0.6,1.1061637699276
50,5,1,0.1,0,0.6,0.6,1.09861233378181
100,5,1,0.1,0,0.6,0.6,1.10474366259342
150,5,1,0.1,0,0.6,0.6,1.106561615973
50,7,1,0.1,0,0.6,0.6,1.1030020548652
100,7,1,0.1,0,0.6,0.6,1.09762782800321
150,7,1,0.1,0,0.6,0.6,1.09978977975581
50,9,1,0.1,0,0.6,0.6,1.10011286882789
100,9,1,0.1,0,0.6,0.6,1.10370565795071
150,9,1,0.1,0,0.6,0.6,1.10312794637534
50,3,5,0.1,0,0.6,0.6,1.10527424960007
100,3,5,0.1,0,0.6,0.6,1.10804976281752
150,3,5,0.1,0,0.6,0.6,1.09691627046189
50,5,5,0.1,0,0.6,0.6,1.09996160813695
100,5,5,0.1,0,0.6,0.6,1.11192576350623
150,5,5,0.1,0,0.6,0.6,1.10181728460924
50,7,5,0.1,0,0.6,0.6,1.10120589227139
100,7,5,0.1,0,0.6,0.6,1.09788761108151
150,7,5,0.1,0,0.6,0.6,1.09577432438497
50,9,5,0.1,0,0.6,0.6,1.10406532338202
100,9,5,0.1,0,0.6,0.6,1.10391889849968
150,9,5,0.1,0,0.6,0.6,1.10212219706315
50,3,1,0.01,0.5,0.6,0.6,1.09763328703126
100,3,1,0.01,0.5,0.6,0.6,1.09839798428797
150,3,1,0.01,0.5,0.6,0.6,1.09842269607361
50,5,1,0.01,0.5,0.6,0.6,1.09847205400525
100,5,1,0.01,0.5,0.6,0.6,1.09853959066601
150,5,1,0.01,0.5,0.6,0.6,1.09891926516432
50,7,1,0.01,0.5,0.6,0.6,1.09777990177181
100,7,1,0.01,0.5,0.6,0.6,1.0982641721279
150,7,1,0.01,0.5,0.6,0.6,1.09767713303572
50,9,1,0.01,0.5,0.6,0.6,1.09871099995813
100,9,1,0.01,0.5,0.6,0.6,1.09775090541161
150,9,1,0.01,0.5,0.6,0.6,1.09795257653895
50,3,5,0.01,0.5,0.6,0.6,1.09921835440834
100,3,5,0.01,0.5,0.6,0.6,1.09935250966947
150,3,5,0.01,0.5,0.6,0.6,1.09724798160428
50,5,5,0.01,0.5,0.6,0.6,1.09812096843847
100,5,5,0.01,0.5,0.6,0.6,1.0983912626388
150,5,5,0.01,0.5,0.6,0.6,1.09827250872232
50,7,5,0.01,0.5,0.6,0.6,1.09725381489411
100,7,5,0.01,0.5,0.6,0.6,1.09937609257199
150,7,5,0.01,0.5,0.6,0.6,1.0981128448277
50,9,5,0.01,0.5,0.6,0.6,1.0980192461205
100,9,5,0.01,0.5,0.6,0.6,1.09903734743624
150,9,5,0.01,0.5,0.6,0.6,1.09846730679253
50,3,1,0.05,0.5,0.6,0.6,1.09930219500841
100,3,1,0.05,0.5,0.6,0.6,1.09735663334808
150,3,1,0.05,0.5,0.6,0.6,1.10229262566296
50,5,1,0.05,0.5,0.6,0.6,1.09785010115117
100,5,1,0.05,0.5,0.6,0.6,1.10238303331039
150,5,1,0.05,0.5,0.6,0.6,1.09898908448931
50,7,1,0.05,0.5,0.6,0.6,1.0976288835896
100,7,1,0.05,0.5,0.6,0.6,1.09789674049801
150,7,1,0.05,0.5,0.6,0.6,1.10169932456409
50,9,1,0.05,0.5,0.6,0.6,1.1005518774426
100,9,1,0.05,0.5,0.6,0.6,1.09711822101683
150,9,1,0.05,0.5,0.6,0.6,1.10097023004687
50,3,5,0.05,0.5,0.6,0.6,1.09939859798598
100,3,5,0.05,0.5,0.6,0.6,1.09676906195167
150,3,5,0.05,0.5,0.6,0.6,1.09922011273969
50,5,5,0.05,0.5,0.6,0.6,1.09952991921649
100,5,5,0.05,0.5,0.6,0.6,1.10344987447023
150,5,5,0.05,0.5,0.6,0.6,1.09630891595073
50,7,5,0.05,0.5,0.6,0.6,1.10081881331367
100,7,5,0.05,0.5,0.6,0.6,1.10243322493184
150,7,5,0.05,0.5,0.6,0.6,1.09913222698262
50,9,5,0.05,0.5,0.6,0.6,1.09997836937165
100,9,5,0.05,0.5,0.6,0.6,1.09882864037322
150,9,5,0.05,0.5,0.6,0.6,1.09998041224299
50,3,1,0.1,0.5,0.6,0.6,1.11144124032025
100,3,1,0.1,0.5,0.6,0.6,1.09595425320665
150,3,1,0.1,0.5,0.6,0.6,1.10495768335886
50,5,1,0.1,0.5,0.6,0.6,1.10177616888947
100,5,1,0.1,0.5,0.6,0.6,1.10117038426382
150,5,1,0.1,0.5,0.6,0.6,1.10653273958336
50,7,1,0.1,0.5,0.6,0.6,1.10421390646698
100,7,1,0.1,0.5,0.6,0.6,1.10217193378718
150,7,1,0.1,0.5,0.6,0.6,1.1044639149933
50,9,1,0.1,0.5,0.6,0.6,1.1017306083969
100,9,1,0.1,0.5,0.6,0.6,1.10148326703504
150,9,1,0.1,0.5,0.6,0.6,1.10132272151921
50,3,5,0.1,0.5,0.6,0.6,1.09349269547656
100,3,5,0.1,0.5,0.6,0.6,1.10245144611008
150,3,5,0.1,0.5,0.6,0.6,1.10057751537021
50,5,5,0.1,0.5,0.6,0.6,1.09716494450392
100,5,5,0.1,0.5,0.6,0.6,1.10476053484574
150,5,5,0.1,0.5,0.6,0.6,1.09528945508323
50,7,5,0.1,0.5,0.6,0.6,1.10042393897191
100,7,5,0.1,0.5,0.6,0.6,1.10028589527321
150,7,5,0.1,0.5,0.6,0.6,1.09897883678971
50,9,5,0.1,0.5,0.6,0.6,1.10835265033404
100,9,5,0.1,0.5,0.6,0.6,1.10548224490377
150,9,5,0.1,0.5,0.6,0.6,1.10463265908131
50,3,1,0.01,2,0.6,0.6,1.09681531893763
100,3,1,0.01,2,0.6,0.6,1.09652631826402
150,3,1,0.01,2,0.6,0.6,1.09828902711799
50,5,1,0.01,2,0.6,0.6,1.09733577665576
100,5,1,0.01,2,0.6,0.6,1.09804002233762
150,5,1,0.01,2,0.6,0.6,1.09846323244966
50,7,1,0.01,2,0.6,0.6,1.09784783722291
100,7,1,0.01,2,0.6,0.6,1.09929231139436
150,7,1,0.01,2,0.6,0.6,1.09774633079709
50,9,1,0.01,2,0.6,0.6,1.0985463003927
100,9,1,0.01,2,0.6,0.6,1.09774162428368
150,9,1,0.01,2,0.6,0.6,1.09785191170535
50,3,5,0.01,2,0.6,0.6,1.09809245469419
100,3,5,0.01,2,0.6,0.6,1.09940457285066
150,3,5,0.01,2,0.6,0.6,1.09798207953238
50,5,5,0.01,2,0.6,0.6,1.09852375492759
100,5,5,0.01,2,0.6,0.6,1.09826927885636
150,5,5,0.01,2,0.6,0.6,1.09941142026761
50,7,5,0.01,2,0.6,0.6,1.09763598428005
100,7,5,0.01,2,0.6,0.6,1.0990170910554
150,7,5,0.01,2,0.6,0.6,1.09831508242129
50,9,5,0.01,2,0.6,0.6,1.09841586712738
100,9,5,0.01,2,0.6,0.6,1.09889475472096
150,9,5,0.01,2,0.6,0.6,1.09816491762244
50,3,1,0.05,2,0.6,0.6,1.10122972946756
100,3,1,0.05,2,0.6,0.6,1.10138929604156
150,3,1,0.05,2,0.6,0.6,1.10327151753438
50,5,1,0.05,2,0.6,0.6,1.10093489602105
100,5,1,0.05,2,0.6,0.6,1.1015769593764
150,5,1,0.05,2,0.6,0.6,1.10271995472622
50,7,1,0.05,2,0.6,0.6,1.09629631569171
100,7,1,0.05,2,0.6,0.6,1.09913653338505
150,7,1,0.05,2,0.6,0.6,1.09951267654548
50,9,1,0.05,2,0.6,0.6,1.10286363290568
100,9,1,0.05,2,0.6,0.6,1.09526251018515
150,9,1,0.05,2,0.6,0.6,1.09801402822418
50,3,5,0.05,2,0.6,0.6,1.10095238684453
100,3,5,0.05,2,0.6,0.6,1.09932451238492
150,3,5,0.05,2,0.6,0.6,1.09806458318918
50,5,5,0.05,2,0.6,0.6,1.10140996747443
100,5,5,0.05,2,0.6,0.6,1.10280227581327
150,5,5,0.05,2,0.6,0.6,1.10095215768798
50,7,5,0.05,2,0.6,0.6,1.09542767067662
100,7,5,0.05,2,0.6,0.6,1.09332724063574
150,7,5,0.05,2,0.6,0.6,1.0988001690765
50,9,5,0.05,2,0.6,0.6,1.10304905148067
100,9,5,0.05,2,0.6,0.6,1.09838011766078
150,9,5,0.05,2,0.6,0.6,1.09923263651963
50,3,1,0.1,2,0.6,0.6,1.10292591061411
100,3,1,0.1,2,0.6,0.6,1.09911876824956
150,3,1,0.1,2,0.6,0.6,1.09862118230325
50,5,1,0.1,2,0.6,0.6,1.10195873722316
100,5,1,0.1,2,0.6,0.6,1.10479174354943
150,5,1,0.1,2,0.6,0.6,1.09475324604103
50,7,1,0.1,2,0.6,0.6,1.10272471734109
100,7,1,0.1,2,0.6,0.6,1.10086419511593
150,7,1,0.1,2,0.6,0.6,1.10369568748163
50,9,1,0.1,2,0.6,0.6,1.1032537801621
100,9,1,0.1,2,0.6,0.6,1.09241959783198
150,9,1,0.1,2,0.6,0.6,1.10885964272252
50,3,5,0.1,2,0.6,0.6,1.10410918171815
100,3,5,0.1,2,0.6,0.6,1.10661431977648
150,3,5,0.1,2,0.6,0.6,1.1080600108268
50,5,5,0.1,2,0.6,0.6,1.10224604605072
100,5,5,0.1,2,0.6,0.6,1.10348043722233
150,5,5,0.1,2,0.6,0.6,1.09528919167744
50,7,5,0.1,2,0.6,0.6,1.09463891167607
100,7,5,0.1,2,0.6,0.6,1.10289570665858
150,7,5,0.1,2,0.6,0.6,1.10613943244659
50,9,5,0.1,2,0.6,0.6,1.10151881626153
100,9,5,0.1,2,0.6,0.6,1.10778310686437
150,9,5,0.1,2,0.6,0.6,1.10014642155692
50,3,1,0.01,0,0.9,0.6,1.09813099980056
100,3,1,0.01,0,0.9,0.6,1.09951830497034
150,3,1,0.01,0,0.9,0.6,1.09857652486761
50,5,1,0.01,0,0.9,0.6,1.09945370067301
100,5,1,0.01,0,0.9,0.6,1.0984009161514
150,5,1,0.01,0,0.9,0.6,1.09790729831945
50,7,1,0.01,0,0.9,0.6,1.09797998457618
100,7,1,0.01,0,0.9,0.6,1.0986465993569
150,7,1,0.01,0,0.9,0.6,1.09778733566262
50,9,1,0.01,0,0.9,0.6,1.09781190734659
100,9,1,0.01,0,0.9,0.6,1.09809135357551
150,9,1,0.01,0,0.9,0.6,1.09768603732488
50,3,5,0.01,0,0.9,0.6,1.09888817174584
100,3,5,0.01,0,0.9,0.6,1.09951126056088
150,3,5,0.01,0,0.9,0.6,1.0975532070776
50,5,5,0.01,0,0.9,0.6,1.09852351845476
100,5,5,0.01,0,0.9,0.6,1.09862328978585
150,5,5,0.01,0,0.9,0.6,1.09831728758131
50,7,5,0.01,0,0.9,0.6,1.09833566359184
100,7,5,0.01,0,0.9,0.6,1.09789517412839
150,7,5,0.01,0,0.9,0.6,1.0986178039138
50,9,5,0.01,0,0.9,0.6,1.09873059657585
100,9,5,0.01,0,0.9,0.6,1.09942521097744
150,9,5,0.01,0,0.9,0.6,1.09708970347216
