"nrounds","max_depth","min_child_weight","eta","gamma","subsample","colsample_bytree","mlogloss"
50,3,1,0.01,0,0.6,0.6,1.0976631144991
100,3,1,0.01,0,0.6,0.6,1.09854985448448
150,3,1,0.01,0,0.6,0.6,1.09877461853454
50,5,1,0.01,0,0.6,0.6,1.09809378705784
100,5,1,0.01,0,0.6,0.6,1.09810039662193
150,5,1,0.01,0,0.6,0.6,1.09729945678879
50,7,1,0.01,0,0.6,0.6,1.09875336357936
100,7,1,0.01,0,0.6,0.6,1.09843183530061
150,7,1,0.01,0,0.6,0.6,1.09866039681481
50,9,1,0.01,0,0.6,0.6,1.09865972827803
100,9,1,0.01,0,0.6,0.6,1.0984507861702
150,9,1,0.01,0,0.6,0.6,1.09838402942917
50,3,5,0.01,0,0.6,0.6,1.09747995252087
100,3,5,0.01,0,0.6,0.6,1.09637661433096
150,3,5,0.01,0,0.6,0.6,1.09823593513236
50,5,5,0.01,0,0.6,0.6,1.09870773361528
100,5,5,0.01,0,0.6,0.6,1.09734791128411
150,5,5,0.01,0,0.6,0.6,1.09867357829565
50,7,5,0.01,0,0.6,0.6,1.09797885874136
100,7,5,0.01,0,0.6,0.6,1.09853503864519
150,7,5,0.01,0,0.6,0.6,1.09830859805149
50,9,5,0.01,0,0.6,0.6,1.09859322214244
100,9,5,0.01,0,0.6,0.6,1.09722913776536
150,9,5,0.01,0,0.6,0.6,1.09807160615182
50,3,1,0.05,0,0.6,0.6,1.09690730677893
100,3,1,0.05,0,0.6,0.6,1.09757881370368
150,3,1,0.05,0,0.6,0.6,1.09684513722446
50,5,1,0.05,0,0.6,0.6,1.09662662018766
100,5,1,0.05,0,0.6,0.6,1.09782442522762
150,5,1,0.05,0,0.6,0.6,1.10000323410539
50,7,1,0.05,0,0.6,0.6,1.10081242378349
100,7,1,0.05,0,0.6,0.6,1.09694013505185
150,7,1,0.05,0,0.6,0.6,1.09820663813771
50,9,1,0.05,0,0.6,0.6,1.09791250187985
100,9,1,0.05,0,0.6,0.6,1.09901052777963
150,9,1,0.05,0,0.6,0.6,1.09912968091245
50,3,5,0.05,0,0.6,0.6,1.0990073858034
100,3,5,0.05,0,0.6,0.6,1.10047037198897
150,3,5,0.05,0,0.6,0.6,1.09882445061965
50,5,5,0.05,0,0.6,0.6,1.09534174639857
100,5,5,0.05,0,0.6,0.6,1.09926530110152
150,5,5,0.05,0,0.6,0.6,1.09933817702399
50,7,5,0.05,0,0.6,0.6,1.09876080103037
100,7,5,0.05,0,0.6,0.6,1.09925239335875
150,7,5,0.05,0,0.6,0.6,1.09867929350385
50,9,5,0.05,0,0.6,0.6,1.09981821739443
100,9,5,0.05,0,0.6,0.6,1.09782457584838
150,9,5,0.05,0,0.6,0.6,1.09888648393513
50,3,1,0.1,0,0.6,0.6,1.10047528725347
100,3,1,0.1,0,0.6,0.6,1.09714176280708
150,3,1,0.1,0,0.6,0.6,1.10116569141294
50,5,1,0.1,0,0.6,0.6,1.10146376712022
100,5,1,0.1,0,0.6,0.6,1.10697976169642
150,5,1,0.1,0,0.6,0.6,1.0970246464859
50,7,1,0.1,0,0.6,0.6,1.10270865807896
100,7,1,0.1,0,0.6,0.6,1.09914351501298
150,7,1,0.1,0,0.6,0.6,1.10421604586857
50,9,1,0.1,0,0.6,0.6,1.10453235331023
100,9,1,0.1,0,0.6,0.6,1.10395407544694
150,9,1,0.1,0,0.6,0.6,1.10361312313266
50,3,5,0.1,0,0.6,0.6,1.10083085445016
100,3,5,0.1,0,0.6,0.6,1.0991506959501
150,3,5,0.1,0,0.6,0.6,1.09812210384816
50,5,5,0.1,0,0.6,0.6,1.10017835992769
100,5,5,0.1,0,0.6,0.6,1.1023083005298
150,5,5,0.1,0,0.6,0.6,1.09990303363094
50,7,5,0.1,0,0.6,0.6,1.10336656040958
100,7,5,0.1,0,0.6,0.6,1.10394034854966
150,7,5,0.1,0,0.6,0.6,1.10359134581159
50,9,5,0.1,0,0.6,0.6,1.10015602229421
100,9,5,0.1,0,0.6,0.6,1.09954893737811
150,9,5,0.1,0,0.6,0.6,1.09857046912781
50,3,1,0.01,0.5,0.6,0.6,1.09584852222525
100,3,1,0.01,0.5,0.6,0.6,1.09789759738762
150,3,1,0.01,0.5,0.6,0.6,1.09872981745987
50,5,1,0.01,0.5,0.6,0.6,1.09764227663098
100,5,1,0.01,0.5,0.6,0.6,1.0977953290988
150,5,1,0.01,0.5,0.6,0.6,1.0986522860526
50,7,1,0.01,0.5,0.6,0.6,1.09884684178328
100,7,1,0.01,0.5,0.6,0.6,1.09832318775074
150,7,1,0.01,0.5,0.6,0.6,1.09803723185186
50,9,1,0.01,0.5,0.6,0.6,1.09855962855189
100,9,1,0.01,0.5,0.6,0.6,1.09845930462434
150,9,1,0.01,0.5,0.6,0.6,1.09819754505594
50,3,5,0.01,0.5,0.6,0.6,1.09818260715125
100,3,5,0.01,0.5,0.6,0.6,1.09788216431313
150,3,5,0.01,0.5,0.6,0.6,1.09862906342602
50,5,5,0.01,0.5,0.6,0.6,1.09793058029349
100,5,5,0.01,0.5,0.6,0.6,1.09851152669154
150,5,5,0.01,0.5,0.6,0.6,1.09812854710538
50,7,5,0.01,0.5,0.6,0.6,1.09840302411911
100,7,5,0.01,0.5,0.6,0.6,1.09884325189855
150,7,5,0.01,0.5,0.6,0.6,1.09867630890018
50,9,5,0.01,0.5,0.6,0.6,1.09845049809797
100,9,5,0.01,0.5,0.6,0.6,1.09845940611245
150,9,5,0.01,0.5,0.6,0.6,1.09842646252676
50,3,1,0.05,0.5,0.6,0.6,1.09907777363263
100,3,1,0.05,0.5,0.6,0.6,1.09818899370606
150,3,1,0.05,0.5,0.6,0.6,1.0966495256254
50,5,1,0.05,0.5,0.6,0.6,1.09800332387193
100,5,1,0.05,0.5,0.6,0.6,1.09809859046393
150,5,1,0.05,0.5,0.6,0.6,1.09621354005696
50,7,1,0.05,0.5,0.6,0.6,1.09839594424876
100,7,1,0.05,0.5,0.6,0.6,1.09719375390021
150,7,1,0.05,0.5,0.6,0.6,1.09971570567403
50,9,1,0.05,0.5,0.6,0.6,1.09943330064324
100,9,1,0.05,0.5,0.6,0.6,1.09920823807171
150,9,1,0.05,0.5,0.6,0.6,1.09874666497756
50,3,5,0.05,0.5,0.6,0.6,1.0920639457219
100,3,5,0.05,0.5,0.6,0.6,1.09664154016074
150,3,5,0.05,0.5,0.6,0.6,1.09779235643842
50,5,5,0.05,0.5,0.6,0.6,1.09920365484687
