"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","model"
0.05,2,0.1,0.6,1,0.6,50,0.949233741246579,0.00203373039221744,0.779131876104759,0.00739657735674456,0.00300963504302198,0.00646893005693311,"CBCL"
0.05,2,0.1,0.6,1,0.8,50,0.950048546570288,0.00144760955134259,0.77923998391089,0.00822237013193095,0.00150039187944404,0.00712205238249033,"CBCL"
0.05,2,0.1,0.6,2,0.6,50,0.950904200217092,0.00200174699466789,0.78073380360698,0.00690175426747996,0.002915827331909,0.00583780573142606,"CBCL"
0.05,2,0.1,0.6,2,0.8,50,0.949686132156183,0.001447204079493,0.778811368175745,0.00729006880955793,0.0019113469420823,0.00641969278644755,"CBCL"
0.05,2,0.1,0.8,1,0.6,50,0.950293898710642,0.00127130856360791,0.779348198764196,0.00774193952816396,0.000983212609293902,0.00693136759012599,"CBCL"
0.05,2,0.1,0.8,1,0.8,50,0.949256696150899,0.00221141280062919,0.778772319868912,0.00784955137455855,0.00307816436732028,0.00684809984901545,"CBCL"
0.05,2,0.1,0.8,2,0.6,50,0.94894273936872,0.00282453756019847,0.778517634212373,0.00747470834438329,0.00197342496084055,0.00707698824741556,"CBCL"
0.05,2,0.1,0.8,2,0.8,50,0.949878058139724,0.00114929243852675,0.778965534764845,0.00716607582038559,0.00139541399036947,0.00588753081311024,"CBCL"
0.05,2,1,0.6,1,0.6,50,0.950235561623292,0.000797466027742707,0.779840758988928,0.00661838996769602,0.00112013350029126,0.00578143482758019,"CBCL"
0.05,2,1,0.6,1,0.8,50,0.950578087892352,0.00127849279379992,0.779347068209321,0.00728581247425068,0.00188601827691424,0.00635684982916993,"CBCL"
0.05,2,1,0.6,2,0.6,50,0.950482255198966,0.000306857940530779,0.779960144209472,0.00720096153791404,0.000247497333775587,0.00613921181991243,"CBCL"
0.05,2,1,0.6,2,0.8,50,0.950393300198445,0.000914127981304597,0.780034467927736,0.00672863917360652,0.000830317161821342,0.00529771913216478,"CBCL"
0.05,2,1,0.8,1,0.6,50,0.949521289809001,0.00202031365129844,0.779113160535886,0.00698323940862624,0.00251489363751772,0.0062017882428401,"CBCL"
0.05,2,1,0.8,1,0.8,50,0.950292034550751,0.00166647058083393,0.779997684676745,0.00684680553362248,0.00121422197638081,0.00598911115293924,"CBCL"
