"nrounds","max_depth","min_child_weight","eta","gamma","subsample","colsample_bytree","mlogloss"
50,3,1,0.01,0,0.6,0.6,1.09524078400438
100,3,1,0.01,0,0.6,0.6,1.09807954910153
150,3,1,0.01,0,0.6,0.6,1.09859452926061
50,5,1,0.01,0,0.6,0.6,1.09711740246649
100,5,1,0.01,0,0.6,0.6,1.09711610676093
150,5,1,0.01,0,0.6,0.6,1.0976531028283
50,7,1,0.01,0,0.6,0.6,1.09769486220733
100,7,1,0.01,0,0.6,0.6,1.0976206239781
150,7,1,0.01,0,0.6,0.6,1.0986071647183
50,9,1,0.01,0,0.6,0.6,1.09839550287865
100,9,1,0.01,0,0.6,0.6,1.0988274445174
150,9,1,0.01,0,0.6,0.6,1.09794397288547
50,3,5,0.01,0,0.6,0.6,1.09716506889409
100,3,5,0.01,0,0.6,0.6,1.09844109534018
150,3,5,0.01,0,0.6,0.6,1.09801080269425
50,5,5,0.01,0,0.6,0.6,1.096406999233
100,5,5,0.01,0,0.6,0.6,1.09873734089784
150,5,5,0.01,0,0.6,0.6,1.09750665635716
50,7,5,0.01,0,0.6,0.6,1.09723556381058
100,7,5,0.01,0,0.6,0.6,1.09828214570363
150,7,5,0.01,0,0.6,0.6,1.098211204653
50,9,5,0.01,0,0.6,0.6,1.09859489111612
100,9,5,0.01,0,0.6,0.6,1.09851826812598
150,9,5,0.01,0,0.6,0.6,1.09785885750125
50,3,1,0.05,0,0.6,0.6,1.10023402330136
100,3,1,0.05,0,0.6,0.6,1.09717951444292
150,3,1,0.05,0,0.6,0.6,1.09882620502986
50,5,1,0.05,0,0.6,0.6,1.09825035436943
100,5,1,0.05,0,0.6,0.6,1.09802079926997
150,5,1,0.05,0,0.6,0.6,1.09855870119805
50,7,1,0.05,0,0.6,0.6,1.09820108526636
100,7,1,0.05,0,0.6,0.6,1.09812511965022
150,7,1,0.05,0,0.6,0.6,1.09786380506916
50,9,1,0.05,0,0.6,0.6,1.09720492409851
100,9,1,0.05,0,0.6,0.6,1.09949729523547
150,9,1,0.05,0,0.6,0.6,1.09927538868511
50,3,5,0.05,0,0.6,0.6,1.0994695399245
100,3,5,0.05,0,0.6,0.6,1.09698071559791
150,3,5,0.05,0,0.6,0.6,1.09996352852018
50,5,5,0.05,0,0.6,0.6,1.09888007940417
100,5,5,0.05,0,0.6,0.6,1.09715450028847
150,5,5,0.05,0,0.6,0.6,1.09707330527644
50,7,5,0.05,0,0.6,0.6,1.09755297307693
100,7,5,0.05,0,0.6,0.6,1.09387207331086
150,7,5,0.05,0,0.6,0.6,1.09759630527922
50,9,5,0.05,0,0.6,0.6,1.09971581885735
100,9,5,0.05,0,0.6,0.6,1.10061570685372
150,9,5,0.05,0,0.6,0.6,1.1006316222379
50,3,1,0.1,0,0.6,0.6,1.09916471334376
100,3,1,0.1,0,0.6,0.6,1.10120487903674
150,3,1,0.1,0,0.6,0.6,1.10087454265857
50,5,1,0.1,0,0.6,0.6,1.10345268127518
100,5,1,0.1,0,0.6,0.6,1.09873624875586
150,5,1,0.1,0,0.6,0.6,1.09724233692724
50,7,1,0.1,0,0.6,0.6,1.09853216124074
100,7,1,0.1,0,0.6,0.6,1.1020986540576
150,7,1,0.1,0,0.6,0.6,1.10165977470755
50,9,1,0.1,0,0.6,0.6,1.10017286793022
100,9,1,0.1,0,0.6,0.6,1.10030186479018
150,9,1,0.1,0,0.6,0.6,1.10073223423879
50,3,5,0.1,0,0.6,0.6,1.09790708147271
100,3,5,0.1,0,0.6,0.6,1.1008220090795
150,3,5,0.1,0,0.6,0.6,1.0997008727553
50,5,5,0.1,0,0.6,0.6,1.09526365832727
100,5,5,0.1,0,0.6,0.6,1.10049776294931
150,5,5,0.1,0,0.6,0.6,1.09811702134618
50,7,5,0.1,0,0.6,0.6,1.10222754024625
100,7,5,0.1,0,0.6,0.6,1.09718294660299
150,7,5,0.1,0,0.6,0.6,1.09508822208738
50,9,5,0.1,0,0.6,0.6,1.10304766482163
100,9,5,0.1,0,0.6,0.6,1.09971946649808
150,9,5,0.1,0,0.6,0.6,1.09593017922625
50,3,1,0.01,0.5,0.6,0.6,1.09833936486361
100,3,1,0.01,0.5,0.6,0.6,1.09783619963476
150,3,1,0.01,0.5,0.6,0.6,1.09766445317716
50,5,1,0.01,0.5,0.6,0.6,1.09866471052129
100,5,1,0.01,0.5,0.6,0.6,1.09776251747973
150,5,1,0.01,0.5,0.6,0.6,1.09838910134105
50,7,1,0.01,0.5,0.6,0.6,1.09813165076012
100,7,1,0.01,0.5,0.6,0.6,1.09816266117702
150,7,1,0.01,0.5,0.6,0.6,1.09870640271883
50,9,1,0.01,0.5,0.6,0.6,1.09887341999233
100,9,1,0.01,0.5,0.6,0.6,1.0982675260883
150,9,1,0.01,0.5,0.6,0.6,1.09826643913407
50,3,5,0.01,0.5,0.6,0.6,1.09690672414449
100,3,5,0.01,0.5,0.6,0.6,1.09746942220844
150,3,5,0.01,0.5,0.6,0.6,1.09658392079072
50,5,5,0.01,0.5,0.6,0.6,1.09797354626599
100,5,5,0.01,0.5,0.6,0.6,1.09825986139279
150,5,5,0.01,0.5,0.6,0.6,1.09797393033157
50,7,5,0.01,0.5,0.6,0.6,1.09776648856115
100,7,5,0.01,0.5,0.6,0.6,1.09804511507729
150,7,5,0.01,0.5,0.6,0.6,1.09850853998509
50,9,5,0.01,0.5,0.6,0.6,1.09854746215483
100,9,5,0.01,0.5,0.6,0.6,1.09809795925036
150,9,5,0.01,0.5,0.6,0.6,1.09791250978624
50,3,1,0.05,0.5,0.6,0.6,1.100083983508
100,3,1,0.05,0.5,0.6,0.6,1.0981338917079
150,3,1,0.05,0.5,0.6,0.6,1.09892918390939
50,5,1,0.05,0.5,0.6,0.6,1.09803425592324
100,5,1,0.05,0.5,0.6,0.6,1.09868826234993
150,5,1,0.05,0.5,0.6,0.6,1.09875154102578
