"Feature","Gain","Cover","Frequency","Importance"
"Corpus Callosum(Anterior)",0.0452833239817872,0.0559459459459459,0.0422535211267606,0.0452833239817872
"L Occipital Pole",0.0421608763953704,0.052557278090273,0.0387323943661972,0.0421608763953704
"Cerebrospinal Fluid",0.0390499497236172,0.0488105364247496,0.0352112676056338,0.0390499497236172
"L Inf Frontal Sulcus",0.0389318421061909,0.0477692413225408,0.0352112676056338,0.0389318421061909
"L Inf Frontal Gyrus
(Orbital)",0.0373246218111418,0.0454890931540678,0.0387323943661972,0.0373246218111418
"L Inf Frontal Gyrus
(Opercular)",0.0335707413497231,0.041773905885581,0.0316901408450704,0.0335707413497231
"L Sup Frontal Sulcus",0.027366072086885,0.0277966799286596,0.028169014084507,0.027366072086885
"R Ant Cingulate",0.0271457518226151,0.0249005350528193,0.0246478873239437,0.0271457518226151
"R Mid Frontal Sulcus",0.0268916207952374,0.0287584030731239,0.028169014084507,0.0268916207952374
"R Fronto-Marginal Gyrus",0.0267336622448057,0.0335821100288105,0.028169014084507,0.0267336622448057
"mrisdp_527",0.0237300093958136,0.0342461242968857,0.0246478873239437,0.0237300093958136
"mrisdp_558",0.0233434831142285,0.0208876389079435,0.0211267605633803,0.0233434831142285
"mrisdp_522",0.022282046895795,0.0200274386061188,0.0211267605633803,0.022282046895795
"mrisdp_589",0.0214210490535357,0.0349211140074084,0.0246478873239437,0.0214210490535357
"mrisdp_509",0.0200877322212168,0.0178995747016052,0.0176056338028169,0.0200877322212168
"mrisdp_488",0.0179158573858789,0.0207765125531623,0.0176056338028169,0.0179158573858789
"smri_vol_scs_tplh",0.017458784757554,0.0225133763204829,0.0176056338028169,0.017458784757554
"mrisdp_564",0.0171108304334019,0.0237618328988887,0.0176056338028169,0.0171108304334019
"mrisdp_590",0.0165560712318513,0.0245822472218411,0.0176056338028169,0.0165560712318513
"mrisdp_588",0.0158239448735422,0.00799560982302099,0.0140845070422535,0.0158239448735422
"mrisdp_600",0.015664491482406,0.0247331595554946,0.0176056338028169,0.015664491482406
"mrisdp_454",0.0153960870065657,0.0176293044313349,0.0211267605633803,0.0153960870065657
"smri_vol_scs_3rdventricle",0.0138654349860301,0.0121745095349156,0.0140845070422535,0.0138654349860301
"mrisdp_510",0.0125014754394457,0.00413774180271642,0.0105633802816901,0.0125014754394457
"mrisdp_492",0.0122471498294136,0.00525037728083413,0.0105633802816901,0.0122471498294136
"smri_vol_scs_cbwmatterlh",0.0117370392394413,0.00566058444231033,0.0105633802816901,0.0117370392394413
"mrisdp_584",0.0117197517867379,0.00890382768555357,0.0105633802816901,0.0117197517867379
"mrisdp_503",0.011240461265013,0.0152037316504322,0.0140845070422535,0.011240461265013
"mrisdp_576",0.011206758941197,0.0106283440801207,0.0105633802816901,0.011206758941197
"mrisdp_594",0.0111838549412499,0.000732610783372205,0.00704225352112676,0.0111838549412499
"mrisdp_582",0.0107977076904603,0.0135272328165729,0.0105633802816901,0.0107977076904603
"mrisdp_483",0.0107665096048686,0.00231856221703937,0.00704225352112676,0.0107665096048686
