"Feature","Gain","Cover","Frequency","Importance"
"smri_vol_scs_4thventricle",0.0443853139562615,0.0537212080411681,0.040133779264214,0.0443853139562615
"mrisdp_466",0.037658898471956,0.034408574611671,0.0301003344481605,0.037658898471956
"mrisdp_577",0.0249107032896966,0.0298827192451298,0.0234113712374582,0.0249107032896966
"smri_vol_scs_aar",0.0243651443417358,0.0269557311341896,0.0234113712374582,0.0243651443417358
"mrisdp_461",0.0240681020607281,0.0228780708221361,0.020066889632107,0.0240681020607281
"mrisdp_570",0.0211919485757725,0.0198120507759263,0.0167224080267559,0.0211919485757725
"smri_vol_scs_bstem",0.0210805547784498,0.0248318353861886,0.0167224080267559,0.0210805547784498
"mrisdp_595",0.0210504810420841,0.0199584001814733,0.020066889632107,0.0210504810420841
"mrisdp_596",0.0205531935241484,0.0224408519730644,0.020066889632107,0.0205531935241484
"mrisdp_496",0.0200652096123994,0.0188498034344547,0.0167224080267559,0.0200652096123994
"mrisdp_547",0.0198412805431777,0.018136350082413,0.020066889632107,0.0198412805431777
"mrisdp_507",0.0192828747107317,0.0233152896712078,0.0167224080267559,0.0192828747107317
"smri_vol_scs_ccat",0.0173603361528009,0.0248428115916047,0.0167224080267559,0.0173603361528009
"mrisdp_553",0.015387096118453,0.0193290977376211,0.0167224080267559,0.015387096118453
"mrisdp_460",0.0150549564361656,0.0151416753714074,0.0133779264214047,0.0150549564361656
"mrisdp_579",0.0144007385227539,0.0199492533436266,0.0133779264214047,0.0144007385227539
"smri_vol_scs_aal",0.0143641772097492,0.0102865338423853,0.0133779264214047,0.0143641772097492
"mrisdp_487",0.0135873460983845,0.014988008495583,0.0133779264214047,0.0135873460983845
"mrisdp_513",0.0129525873845558,0.0145233491329712,0.0133779264214047,0.0129525873845558
"mrisdp_457",0.0124974379301583,0.0115103807462722,0.0133779264214047,0.0124974379301583
"mrisdp_589",0.0124133453804364,0.0107950980266612,0.0133779264214047,0.0124133453804364
"mrisdp_592",0.0123391942505305,0.0150739887713419,0.0133779264214047,0.0123391942505305
"mrisdp_545",0.0121305644709664,0.0065820645144767,0.0133779264214047,0.0121305644709664
"mrisdp_505",0.0114815773353816,0.004567930820636,0.0100334448160535,0.0114815773353816
"mrisdp_470",0.0112809414081862,0.00772907798045138,0.0100334448160535,0.0112809414081862
"mrisdp_540",0.0109956845579855,0.0149020282198241,0.0100334448160535,0.0109956845579855
"mrisdp_514",0.0102916901155969,0.0149477624090576,0.0100334448160535,0.0102916901155969
"mrisdp_550",0.0100108179399032,0.0137952608403749,0.0100334448160535,0.0100108179399032
"mrisdp_581",0.00998939116764824,0.0146312818195622,0.0100334448160535,0.00998939116764824
"smri_vol_scs_inflatventrh",0.00979724451632311,0.00102993394153707,0.0100334448160535,0.00979724451632311
"smri_vol_scs_pallidumrh",0.00946440347439902,0.00863095619213482,0.0100334448160535,0.00946440347439902
"mrisdp_578",0.00918792009193486,0.00942124298208866,0.0100334448160535,0.00918792009193486
"mrisdp_499",0.00904944392770345,0.0116585595193886,0.0100334448160535,0.00904944392770345
"mrisdp_536",0.00896998435262826,0.0103706847505749,0.0100334448160535,0.00896998435262826
"mrisdp_566",0.00834754826872417,0.0148105598413572,0.0100334448160535,0.00834754826872417
"mrisdp_591",0.0080573930804572,0.0100889621448969,0.0100334448160535,0.0080573930804572
"mrisdp_552",0.00790074393490259,0.0095255169335409,0.0100334448160535,0.00790074393490259
"mrisdp_503",0.0078895639563323,0.00200681622356335,0.00668896321070234,0.0078895639563323
"smri_vol_scs_ccmidps",0.0077648360884681,0.00517711022122542,0.00668896321070234,0.0077648360884681
"mrisdp_572",0.00740015967364131,0.00706318818521249,0.00668896321070234,0.00740015967364131
"mrisdp_525",0.00711673388987454,0.00999749376643001,0.00668896321070234,0.00711673388987454
"mrisdp_509",0.00705367859891807,0.00529601911323236,0.00668896321070234,0.00705367859891807
"mrisdp_594",0.00705346030661506,0.00712721605013931,0.00668896321070234,0.00705346030661506
"mrisdp_468",0.00701402883227862,0.00507283626977318,0.00668896321070234,0.00701402883227862
"smri_vol_scs_tprh",0.0067379273142475,0.00351604446826688,0.00668896321070234,0.0067379273142475
"smri_vol_scs_wmhint",0.00665078749811773,0.00195010582891389,0.00668896321070234,0.00665078749811773
"mrisdp_546",0.00660890008827514,0.00997005325288994,0.00668896321070234,0.00660890008827514
"mrisdp_490",0.006608232855198,0.00674670759571708,0.00668896321070234,0.006608232855198
"mrisdp_478",0.00657015055673976,0.00881206358149924,0.00668896321070234,0.00657015055673976
"mrisdp_493",0.00653608107096767,0.00694244992563621,0.00668896321070234,0.00653608107096767
"mrisdp_482",0.00653044136281566,0.00663328680641815,0.00668896321070234,0.00653044136281566
"smri_vol_scs_amygdalarh",0.00638666557924935,0.000942124298208866,0.00668896321070234,0.00638666557924935
"mrisdp_530",0.00636597546996848,0.00694427929320555,0.00668896321070234,0.00636597546996848
"mrisdp_508",0.00632148032026885,0.0099389540042112,0.00668896321070234,0.00632148032026885
"smri_vol_scs_crbwmatterrh",0.00621082377430922,0.00213304258584765,0.00668896321070234,0.00621082377430922
"mrisdp_510",0.0061992289815243,0.00416546995538172,0.00668896321070234,0.0061992289815243
"smri_vol_scs_subcorticalgv",0.00604745699203354,0.00599300815714999,0.00668896321070234,0.00604745699203354
"mrisdp_598",0.0060258666476486,0.00989321981497776,0.00668896321070234,0.0060258666476486
"mrisdp_485",0.00601054441082165,0.00812970947813631,0.00668896321070234,0.00601054441082165
"mrisdp_558",0.0059737471538453,0.00659304071989273,0.00668896321070234,0.0059737471538453
"mrisdp_587",0.00567090041577773,0.00530150721594038,0.00668896321070234,0.00567090041577773
"smri_vol_scs_ccct",0.00558094221654436,0.00493197496693418,0.00668896321070234,0.00558094221654436
"mrisdp_522",0.00552874623217666,0.00990053728525511,0.00668896321070234,0.00552874623217666
"mrisdp_481",0.00548931299267335,0.000932977460362178,0.00668896321070234,0.00548931299267335
"smri_vol_scs_3rdventricle",0.00535312507309538,0.0069369618229282,0.00668896321070234,0.00535312507309538
"mrisdp_582",0.00534162971804418,0.000113420789298931,0.00668896321070234,0.00534162971804418
"smri_vol_scs_cbwmatterrh",0.00528609286117914,0.00524296745372157,0.00668896321070234,0.00528609286117914
"mrisdp_476",0.00490570675539726,0.000250623356999252,0.00334448160535117,0.00490570675539726
"smri_vol_scs_pallidumlh",0.00446856229727579,0.000210377270473824,0.00334448160535117,0.00446856229727579
"mrisdp_523",0.00414673236629135,0.00515881654553204,0.00334448160535117,0.00414673236629135
"mrisdp_573",0.00406290576837796,0.00506368943192649,0.00334448160535117,0.00406290576837796
"mrisdp_557",0.00398898057983149,0.00497039168589027,0.00334448160535117,0.00398898057983149
"mrisdp_465",0.00391674377339688,0.00358373106833237,0.00334448160535117,0.00391674377339688
"mrisdp_494",0.00388871704221228,0.00496124484804358,0.00334448160535117,0.00388871704221228
"mrisdp_560",0.00382180456744877,0.00256477333221132,0.00334448160535117,0.00382180456744877
"mrisdp_488",0.00381575798833306,0.00387277114428771,0.00334448160535117,0.00381575798833306
"smri_vol_scs_inflatventlh",0.00377526623709627,4.93929243721153e-05,0.00334448160535117,0.00377526623709627
"mrisdp_469",0.00373422698993506,0.00483867722089796,0.00334448160535117,0.00373422698993506
"mrisdp_479",0.00373345119909537,0.00466854603694957,0.00334448160535117,0.00373345119909537
"mrisdp_512",0.00367721474776056,0.00243122949964968,0.00334448160535117,0.00367721474776056
"mrisdp_462",0.00362789804475352,0.00495941548047425,0.00334448160535117,0.00362789804475352
"mrisdp_534",0.00361955586612241,0.00496856231832093,0.00334448160535117,0.00361955586612241
"mrisdp_472",0.00361090537167789,0.00138300188241923,0.00334448160535117,0.00361090537167789
"mrisdp_604",0.00360413007283904,9.14683784668802e-05,0.00334448160535117,0.00360413007283904
"mrisdp_491",0.00359278358019395,0.00497222105345961,0.00668896321070234,0.00359278358019395
"mrisdp_556",0.00359110578908331,0.00486611773443803,0.00334448160535117,0.00359110578908331
"mrisdp_473",0.0035618337326714,0.00416729932295106,0.00334448160535117,0.0035618337326714
"smri_vol_scs_amygdalalh",0.00355208677540567,0.00497587978859828,0.00334448160535117,0.00355208677540567
"smri_vol_scs_hpuslh",0.00354896537198925,0.00411973576614828,0.00334448160535117,0.00354896537198925
"mrisdp_500",0.00354288672567539,0.000327456794911431,0.00334448160535117,0.00354288672567539
"mrisdp_539",0.00352284943394221,0.00437035912314754,0.00334448160535117,0.00352284943394221
"mrisdp_548",0.00345642532201294,0.000444536319349038,0.00334448160535117,0.00345642532201294
"mrisdp_492",0.00341315519812161,0.00509295931303589,0.00334448160535117,0.00341315519812161
"mrisdp_524",0.00340400722081401,0.00139397808783525,0.00334448160535117,0.00340400722081401
"mrisdp_561",0.0033609662744214,0.004996002831861,0.00334448160535117,0.0033609662744214
"mrisdp_519",0.00332994552602954,0.000106103319021581,0.00334448160535117,0.00332994552602954
"smri_vol_scs_csf",0.00329136192018001,0.00492648686422617,0.00334448160535117,0.00329136192018001
"mrisdp_497",0.00328225836623866,0.0046557404639642,0.00334448160535117,0.00328225836623866
"mrisdp_455",0.0032753453843839,0.0049667329507516,0.00334448160535117,0.0032753453843839
"mrisdp_567",0.00326452049854911,0.00301479775426837,0.00334448160535117,0.00326452049854911
"mrisdp_586",0.00325502625434037,0.00496124484804358,0.00334448160535117,0.00325502625434037
"mrisdp_585",0.00321083706689834,0.00465025236125619,0.00334448160535117,0.00321083706689834
"mrisdp_459",0.00320942522759623,0.00500332030213835,0.00334448160535117,0.00320942522759623
"mrisdp_495",0.00320576780184006,0.00149459330414882,0.00334448160535117,0.00320576780184006
"mrisdp_597",0.00318783252965546,0.00489355824797809,0.00334448160535117,0.00318783252965546
"mrisdp_518",0.00314837722556626,0.00511491172386794,0.00334448160535117,0.00314837722556626
"mrisdp_501",0.00314826690263684,0.00485331216145266,0.00334448160535117,0.00314826690263684
"mrisdp_480",0.00312431241142303,0.00266355918095555,0.00334448160535117,0.00312431241142303
"mrisdp_584",0.0031079519622816,0.00112140232000395,0.00334448160535117,0.0031079519622816
"mrisdp_532",0.00309325253516554,0.000164643081240384,0.00334448160535117,0.00309325253516554
"mrisdp_489",0.00306526581443,0.00227756262382532,0.00334448160535117,0.00306526581443
"mrisdp_574",0.00305103150878438,0.00441609331238098,0.00334448160535117,0.00305103150878438
"mrisdp_543",0.00304177085499153,0.000433560113933012,0.00334448160535117,0.00304177085499153
"smri_vol_scs_cbwmatterlh",0.0030398827148288,0.00490270508582478,0.00334448160535117,0.0030398827148288
"smri_vol_scs_ltventriclerh",0.00302718469274967,0.00333493707890245,0.00334448160535117,0.00302718469274967
"mrisdp_590",0.0029697596957219,0.000515881654553204,0.00334448160535117,0.0029697596957219
"mrisdp_517",0.00294281765957936,0.0042130335121845,0.00334448160535117,0.00294281765957936
"mrisdp_541",0.00280945606635591,0.000557957108647969,0.00334448160535117,0.00280945606635591
"mrisdp_502",0.00277110840447811,0.00492282812908749,0.00334448160535117,0.00277110840447811
"smri_vol_scs_ccmidat",0.00274926152250795,0.00509478868060523,0.00334448160535117,0.00274926152250795
"mrisdp_571",0.0027358700840431,0.00485697089659134,0.00334448160535117,0.0027358700840431
"mrisdp_456",0.00270937316414647,0.00478013745867916,0.00334448160535117,0.00270937316414647
"smri_vol_scs_ccps",0.00270221247054085,0.00422035098246185,0.00334448160535117,0.00270221247054085
"mrisdp_526",0.00269783191475663,0.000254282092137927,0.00334448160535117,0.00269783191475663
"mrisdp_467",0.00264696951395978,0.00480940733978856,0.00334448160535117,0.00264696951395978
"mrisdp_533",0.00264514021269274,0.000376849719283546,0.00334448160535117,0.00264514021269274
"mrisdp_588",0.00263758294493016,0.00392216406865982,0.00334448160535117,0.00263758294493016
"mrisdp_599",0.00252621062380444,0.000124396994714957,0.00334448160535117,0.00252621062380444
"mrisdp_601",0.00249448645641459,0.000120738259576282,0.00334448160535117,0.00249448645641459
"mrisdp_474",0.00249316905354007,5.85397622188033e-05,0.00334448160535117,0.00249316905354007
"mrisdp_544",0.00247981497777399,6.40278649268162e-05,0.00334448160535117,0.00247981497777399
"mrisdp_564",0.00247375898443496,0.00026708766512329,0.00334448160535117,0.00247375898443496
"mrisdp_600",0.00239505519497493,0.000142690670408333,0.00334448160535117,0.00239505519497493
"smri_vol_scs_hpusrh",0.00232899706097686,8.23215406201922e-05,0.00334448160535117,0.00232899706097686
"mrisdp_562",0.00162511441249009,2.01230432627136e-05,0.00334448160535117,0.00162511441249009
"mrisdp_531",0.00149756639635542,0.000100615216313568,0.00334448160535117,0.00149756639635542
"mrisdp_477",0.000839335376063084,2.37817784013889e-05,0.00334448160535117,0.000839335376063084
"mrisdp_520",0.000430075553193126,3.47579838174145e-05,0.00334448160535117,0.000430075553193126
