"Feature","Gain","Cover","Frequency","Importance"
"Corpus Callosum (Anterior)",0.061059221521233,0.0780365423718896,0.0540540540540541,0.061059221521233
"Brainstem",0.0578119454302933,0.0572821428048977,0.0472972972972973,0.0578119454302933
"L Anterior Transverse
 Collateral Sulcus",0.0398866062976821,0.0605297034772305,0.0405405405405405,0.0398866062976821
"R Planum Temporale",0.0313220628828742,0.0336312702058251,0.0337837837837838,0.0313220628828742
"L Gyrus Rectus",0.0310582070348394,0.0343115025088138,0.027027027027027,0.0310582070348394
"R Lingual Gyrus",0.0287778985826642,0.0393657016632777,0.027027027027027,0.0287778985826642
"R Gyrus Rectus",0.028597821976928,0.0365460290525022,0.027027027027027,0.028597821976928
"L Posterior Ramus of
 Lateral Sulcus",0.0283383787098909,0.02998142161237,0.027027027027027,0.0283383787098909
"R Medial Orbital Sulcus",0.0280503093391195,0.0399362190786875,0.027027027027027,0.0280503093391195
"R Middle Occipital &
 Lunatus Sulcus",0.0218466225372792,0.018688102517591,0.0202702702702703,0.0218466225372792
"smri_vol_scs_putamenlh",0.021810923932226,0.022348922599804,0.0202702702702703,0.021810923932226
"mrisdp_521",0.0206388022063728,0.0224037800435934,0.0202702702702703,0.0206388022063728
"mrisdp_507",0.0205596376165381,0.0301789084100118,0.0202702702702703,0.0205596376165381
"smri_vol_scs_inflatventrh",0.0192725392883415,0.00482379789054843,0.0202702702702703,0.0192725392883415
"mrisdp_488",0.0178536841782877,0.0129097851051069,0.0202702702702703,0.0178536841782877
"mrisdp_572",0.0153190883743954,0.00690838075454585,0.0135135135135135,0.0153190883743954
"mrisdp_479",0.0139529646382414,0.0155795140361913,0.0135135135135135,0.0139529646382414
"mrisdp_538",0.0136321947431507,0.0194305065902076,0.0135135135135135,0.0136321947431507
"smri_vol_scs_4thventricle",0.013603696480548,0.0194341637531269,0.0135135135135135,0.013603696480548
"mrisdp_455",0.0133944452913834,0.0203118828537574,0.0135135135135135,0.0133944452913834
"mrisdp_524",0.0127817584198475,0.00904416389941339,0.0135135135135135,0.0127817584198475
"smri_vol_scs_caudaterh",0.0125161024862,0.00621717696279934,0.0135135135135135,0.0125161024862
"mrisdp_535",0.0123742978037812,0.0192001053262921,0.0135135135135135,0.0123742978037812
"smri_vol_scs_ccmidps",0.0119467640680826,0.00990359718544742,0.0135135135135135,0.0119467640680826
"smri_vol_scs_cbwmatterlh",0.0118351824725676,0.0197559940900247,0.0135135135135135,0.0118351824725676
"mrisdp_473",0.0116485973098598,0.00392779297532146,0.0135135135135135,0.0116485973098598
"mrisdp_469",0.0113771039851822,0.0195841074328179,0.0135135135135135,0.0113771039851822
"mrisdp_499",0.00871570833621704,5.85146067086997e-05,0.00675675675675676,0.00871570833621704
