"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","model"
0.05,2,0.1,0.6,1,0.6,50,0.95186533205762,0.00132878544984551,0.722649142085401,0.0259426621195426,0.00172327364581436,0.0118946341838793,"BPM"
0.05,2,0.1,0.6,1,0.8,50,0.952299632756756,0.000679125845961456,0.723346654909701,0.0242802201036396,0.000821004886187456,0.0107895276241984,"BPM"
0.05,2,0.1,0.6,2,0.6,50,0.950871543223156,0.00164926414180475,0.722433810437224,0.0242263213627045,0.00144181798691809,0.0111508370970604,"BPM"
0.05,2,0.1,0.6,2,0.8,50,0.951796816997221,0.000923899945261717,0.722895186452713,0.0236393195367103,0.0013026546566179,0.0101356956863963,"BPM"
0.05,2,0.1,0.8,1,0.6,50,0.951528558616594,0.00129837112034349,0.722110731386577,0.0249870291221238,0.00161870437701173,0.0117995434204395,"BPM"
0.05,2,0.1,0.8,1,0.8,50,0.951641765618601,0.00120485078446712,0.722659172324692,0.0245681011879544,0.00178283906204353,0.0106876039517528,"BPM"
0.05,2,0.1,0.8,2,0.6,50,0.951665436448338,0.000926129081267803,0.722343911796197,0.0243890494110457,0.000975051609341847,0.0114995414422313,"BPM"
0.05,2,0.1,0.8,2,0.8,50,0.951790558243542,0.00139412977348017,0.72325350955335,0.0249070521715553,0.00167250710081372,0.011372055242779,"BPM"
0.05,2,1,0.6,1,0.6,50,0.951084397990555,0.00163997262824188,0.721466168865115,0.0241086613340349,0.00286841485441434,0.0114247702688936,"BPM"
0.05,2,1,0.6,1,0.8,50,0.951037347126825,0.00109109707803256,0.722145377530608,0.0239608022383708,0.000685957834591735,0.010647359139819,"BPM"
0.05,2,1,0.6,2,0.6,50,0.950132745953029,0.00307563603852355,0.720740137950417,0.0254276117713989,0.0041297308718672,0.0118336780746042,"BPM"
0.05,2,1,0.6,2,0.8,50,0.951484148827747,0.00115402030776249,0.722629629799162,0.0233258892465192,0.00180636982158989,0.0100386501753115,"BPM"
0.05,2,1,0.8,1,0.6,50,0.950602028753809,0.00256610880225383,0.721096545574449,0.025994308910769,0.00337435784488993,0.0118010192447169,"BPM"
0.05,2,1,0.8,1,0.8,50,0.951987024227432,0.000643606079640778,0.722876546232887,0.0232858615776107,0.000583123957351181,0.010359647692076,"BPM"
0.05,2,1,0.8,2,0.6,50,0.951170113201709,0.00181932553343139,0.722491539520237,0.0244014042533121,0.00264514519540529,0.0107556409541629,"BPM"
0.05,2,1,0.8,2,0.8,50,0.951330361409213,0.00155028749225809,0.722402409274798,0.0238435387118309,0.00204756627934742,0.0112699017882431,"BPM"
0.1,2,0.1,0.6,1,0.6,50,0.955439248763651,0.00139609188388409,0.709541970019069,0.0276480576497069,0.000976167191964699,0.011431341618376,"BPM"
0.1,2,0.1,0.6,1,0.8,50,0.95336091654815,0.00133173054472404,0.707930820378753,0.0252005271612021,0.0016947331145584,0.0110918587083955,"BPM"
0.1,2,0.1,0.6,2,0.6,50,0.953500450889615,0.00257584582287485,0.706739530530994,0.0276618759391868,0.00287206981798138,0.0136009373257098,"BPM"
0.1,2,0.1,0.6,2,0.8,50,0.95380600242224,0.00122802623314487,0.708119255512571,0.0250031650406582,0.00124935584353901,0.00997988771653343,"BPM"
0.1,2,0.1,0.8,1,0.6,50,0.95302468427416,0.00270047691326812,0.706591197191437,0.024981392120682,0.00363590987501872,0.0116000445145421,"BPM"
0.1,2,0.1,0.8,1,0.8,50,0.95288365993403,0.00179888715243524,0.706721224318995,0.0244959882502891,0.00149140414620692,0.0106475227600302,"BPM"
0.1,2,0.1,0.8,2,0.6,50,0.954339578437285,0.00109719942620219,0.706238855917748,0.025874239440074,0.0011113438642969,0.00961237533041806,"BPM"
0.1,2,0.1,0.8,2,0.8,50,0.954662922147013,0.00108398763973671,0.709375224749232,0.0250741679831055,0.00202697011533366,0.0107436179148505,"BPM"
0.1,2,1,0.6,1,0.6,50,0.955425006084792,0.00167525162704704,0.708297925773585,0.0267171980386017,0.00183768367539179,0.0131909586673799,"BPM"
0.1,2,1,0.6,1,0.8,50,0.953944364846166,0.00139520481874852,0.707489171486631,0.0245033897835287,0.00281675853704361,0.0107629562523444,"BPM"
0.1,2,1,0.6,2,0.6,50,0.952772275790175,0.00222769932282153,0.707655502721532,0.0262277263119821,0.002035313744318,0.012255350265934,"BPM"
0.1,2,1,0.6,2,0.8,50,0.953798337475422,0.00198833973772221,0.707485837809922,0.0260757793507151,0.00327210895379418,0.0103814412142192,"BPM"
0.1,2,1,0.8,1,0.6,50,0.954497046088872,0.0020854741680195,0.709531142217631,0.0266373772482163,0.00276870531837487,0.0129697331963246,"BPM"
0.1,2,1,0.8,1,0.8,50,0.954942376352046,0.00106666803086308,0.707402133766472,0.0246640392716279,0.00167246208085351,0.0107508191263114,"BPM"
0.1,2,1,0.8,2,0.6,50,0.953672515936371,0.00267386313088547,0.707891043862447,0.0243283270792268,0.00441566448449257,0.00922450251540651,"BPM"
0.1,2,1,0.8,2,0.8,50,0.954248860356137,0.00129853613834153,0.708875542585755,0.0259043796195144,0.0013129952233841,0.0108496090056977,"BPM"
0.05,7,0.1,0.6,1,0.6,50,0.961831658326423,0.00179734208561632,0.726698653516213,0.026810769023641,0.00144267846152039,0.0139125486411253,"BPM"
0.05,7,0.1,0.6,1,0.8,50,0.95643282069079,0.00359703997635929,0.723810353601151,0.0224105126180258,0.00247102343662508,0.00831434279616558,"BPM"
