"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","model"
0.05,2,0.1,0.6,1,0.6,50,0.907338418881447,0.00512285753739813,0.75868696351294,0.0181621276636595,0.00325954397571881,0.0103335395759541,"CBCL"
0.05,2,0.1,0.6,1,0.8,50,0.907677203278364,0.0049008343316782,0.758946739883471,0.0185710334172133,0.00364695092996288,0.00985853445324772,"CBCL"
0.05,2,0.1,0.6,2,0.6,50,0.908068220060283,0.00453024269546151,0.759693450710865,0.0187315788597182,0.00397249310736634,0.0106804550656469,"CBCL"
0.05,2,0.1,0.6,2,0.8,50,0.90797372811645,0.00381743504352021,0.759274235980765,0.0185741247870532,0.00312650850515812,0.010420093801446,"CBCL"
0.05,2,0.1,0.8,1,0.6,50,0.908179691588917,0.0036898403847035,0.760236513612791,0.0172804694578283,0.00206059502001575,0.00892658849951927,"CBCL"
0.05,2,0.1,0.8,1,0.8,50,0.908005879588449,0.00431945977539996,0.759499773028149,0.018717530808602,0.00322495048429251,0.0100335426091003,"CBCL"
0.05,2,0.1,0.8,2,0.6,50,0.908565252133917,0.00388199627324438,0.760052091165846,0.0186654829225067,0.00305668032252041,0.0109175896965641,"CBCL"
0.05,2,0.1,0.8,2,0.8,50,0.908492345998619,0.00376062477918277,0.760321403706473,0.0185337593822147,0.00297731494808329,0.010346106107638,"CBCL"
0.05,2,1,0.6,1,0.6,50,0.906954146039012,0.00631182982236246,0.758582921278552,0.0174691486583073,0.00391950360073927,0.00949410571948982,"CBCL"
0.05,2,1,0.6,1,0.8,50,0.907794982840863,0.00445610226485789,0.759423004095771,0.0186462574121261,0.00383549370828122,0.0104788030115293,"CBCL"
0.05,2,1,0.6,2,0.6,50,0.908093915150571,0.00391022992386088,0.759641773465012,0.0179926713842927,0.00226830822893996,0.00950230849995357,"CBCL"
0.05,2,1,0.6,2,0.8,50,0.907850507573737,0.00400639791205124,0.759428085903375,0.0183380002844296,0.00364091373993436,0.00920213774155693,"CBCL"
0.05,2,1,0.8,1,0.6,50,0.908104184521682,0.00570595358727246,0.759429916596538,0.0173083300916169,0.00457627325225243,0.00925722654421002,"CBCL"
0.05,2,1,0.8,1,0.8,50,0.907778152307031,0.00431071758742766,0.759084827107602,0.0182154518910554,0.00301112240631084,0.00981512991122188,"CBCL"
0.05,2,1,0.8,2,0.6,50,0.90647396171601,0.00706500096837201,0.758390094334845,0.0191856988438743,0.00558112010225613,0.0108119419422518,"CBCL"
0.05,2,1,0.8,2,0.8,50,0.908910069465649,0.00281138053857651,0.759851124392354,0.0174793352902266,0.00185348910440356,0.00906550196079214,"CBCL"
0.1,2,0.1,0.6,1,0.6,50,0.906965757273811,0.00881311544053725,0.756684002111303,0.0186338927933435,0.0100896514516481,0.0102456385565759,"CBCL"
