"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","model"
0.05,2,0.1,0.6,1,0.6,50,0.945128586662453,0.00295276600106558,0.772984941915474,0.0200604186448514,0.0041046936416169,0.0156497918652906,"CBCL"
0.05,2,0.1,0.6,1,0.8,50,0.945307871502352,0.0015884245785958,0.773478179578043,0.0203582881931241,0.00144617181953754,0.0154243941513931,"CBCL"
0.05,2,0.1,0.6,2,0.6,50,0.945459269429156,0.00199847817692008,0.772647971589615,0.0199833342248011,0.00239707172771,0.0152825991416582,"CBCL"
0.05,2,0.1,0.6,2,0.8,50,0.944393744868493,0.00305250819962598,0.772736737248161,0.0201631917597434,0.00226860403918677,0.0157941117627077,"CBCL"
0.05,2,0.1,0.8,1,0.6,50,0.945936803458087,0.00179805262695018,0.772899307385572,0.0191156191251361,0.0022095983241244,0.013894590518937,"CBCL"
0.05,2,0.1,0.8,1,0.8,50,0.945249982889121,0.0020483518561036,0.773313519916797,0.0198662722060605,0.00224523588381464,0.0153347044060891,"CBCL"
0.05,2,0.1,0.8,2,0.6,50,0.946401722465152,0.00183394087455093,0.774227411653022,0.0193509536086287,0.00143982922302966,0.0140623248105196,"CBCL"
0.05,2,0.1,0.8,2,0.8,50,0.944911432443421,0.00306735246710026,0.773034098693462,0.0187775647252743,0.00364972694747452,0.0148732645827152,"CBCL"
0.05,2,1,0.6,1,0.6,50,0.944600635899828,0.00342066465197843,0.772408898093936,0.0210636961800525,0.00360190683419983,0.0162450889860307,"CBCL"
0.05,2,1,0.6,1,0.8,50,0.94527198643641,0.00195104616473584,0.773384543832476,0.0196311551354455,0.00180450944716427,0.0157447357389861,"CBCL"
0.05,2,1,0.6,2,0.6,50,0.944992320543465,0.0021063524609066,0.773026129336494,0.0216117062525674,0.00150650236733723,0.0164522611657795,"CBCL"
0.05,2,1,0.6,2,0.8,50,0.945902522490719,0.00120929144956897,0.773666955229917,0.0200043463213809,0.00127507829977985,0.0159452830955198,"CBCL"
0.05,2,1,0.8,1,0.6,50,0.945051143303372,0.00298390378442813,0.773349355317413,0.0202089313429715,0.00216823010763339,0.0148583285874877,"CBCL"
